Region,Product,Approved_Date,Station,RSP/KL,RSP/L
Central Region,HSD (in KL),2022-04-01,Gelephu Forest Checkpost,99125.45,99.13
Central Region,HSD (in KL),2022-04-01,Sarpang,99510.71,99.51
Central Region,HSD (in KL),2022-04-01,Dagapela,100990.31,100.99
Central Region,HSD (in KL),2022-04-01,Tsirang,100533.41,100.53
Central Region,HSD (in KL),2022-04-01,Zhemgang,100996.53,101
Central Region,HSD (in KL),2022-04-01,Trongsa,101954.03,101.95
Central Region,HSD (in KL),2022-04-01,Bumthang,102933.03,102.93
Central Region,HSD (in KL),2022-04-01,Dagana,101508.01,101.51
Central Region,HSD (in KL),2022-04-01,Lhamoizingkha,100135.44,100.14
Central Region,HSD (in KL),2022-04-01,Dangdung,100792.69,100.79
Central Region,HSD (in KL),2022-04-01,Panbang,100573.73,100.57
Central Region,HSD (in KL),2022-04-01,Tingtibi,100137.64,100.14
Central Region,HSD (in KL),2022-04-01,Gelephu Gate,99125.45,99.13
Central Region,HSD (in KL),2022-04-01,Gelephu Town,99125.45,99.13
