Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Phuentsholing,72731.09,72.73
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Rinchending,72811.55,72.81
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Pasakha,72865.19,72.87
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Chimakothi,74457.05,74.46
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Lungtenzampa,74899.42,74.9
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Paro Town,74918.17,74.92
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Haa,75759.81,75.76
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Bajo Town,75013.6,75.01
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Beychu,75237.1,75.24
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Samtse Town,72226.13,72.23
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Sipsoo,73914.32,73.91
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Gomtu,72285.74,72.29
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Gedu,74052.76,74.05
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Khuruthang,74984.36,74.98
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Gasa,76521.49,76.52
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Motithang,74899.42,74.9
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Olakha,74899.42,74.9
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Paro NIE Bridge,74918.17,74.92
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Langlitsawa,75237.1,75.24
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Wangdue Zero Point,75013.6,75.01
Western Region,MS (in KL),Bharat Petroleum Corporation Limited,2022-01-01,Phuentsholing Main gate,72731.09,72.73
