Region,Product,Company,Approved_Date,Station,RSP/KL,RSP/L
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Phuentsholing,51049.75,51.05
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Rinchending,51130.21,51.13
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Pasakha,51183.85,51.18
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Chimakothi,52342.76,52.34
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Chubachu,52813.91,52.81
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Paro Shaba,52796.91,52.8
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Haa,53478.97,53.48
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Wangdue Zero Point,53127.78,53.13
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Beychu,53351.28,53.35
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Samtse Checkpost,50951.1,50.95
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Sipsoo,52184.59,52.18
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Pagli,50910.01,50.91
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Gedu,51930.62,51.93
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Mitsina,53038.38,53.04
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Khuruthang,53108.56,53.11
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Gasa,54275.09,54.28
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Dorokha,51798.4,51.8
Western Region,HSD (in KL),Indian Oil Corporation Limited,2020-09-16,Langdru (Khasadrapchu),52661.93,52.66
