"#",Station,RSP/KL,RSP/L
1,Phuentsholing,45101.4,45.1
2,Rinchending,45181.86,45.18
3,Pasakha,45235.5,45.24
4,Chimakothi,46489.23,46.49
5,Chubachu,46954.08,46.95
6,Paro Shaba,46944.91,46.94
7,Haa,47661.92,47.66
8,Wangdue Zero Point,47224.21,47.22
9,Beychu,47447.71,47.45
10,Samtse Checkpost,45190.92,45.19
11,Sipsoo,46246.84,46.25
12,Pagli,45144.2,45.14
13,Gedu,46078.81,46.08
14,Mitsina,47134.81,47.13
15,Khuruthang,47202.8,47.2
16,Gasa,48450.49,48.45
17,Dorokha,45895.4,45.9
18,Langdru (Khasadrapchu),46802.1,46.8
