"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Lobesa72389.3472.392Phuentsholing70320.9570.323Rinchending70401.4170.44Pasakha70455.0570.465Chimakothi71782.8371.786Chubachu72242.7572.247Paro Shaba72239.772.248Haa7298472.989Wangdue Zero Point72478.7472.4810Beychu72702.2472.711Samtse Checkpost69825.0969.8312Sipsoo71474.6771.4713Pagli69883.4269.8814Gedu71373.7571.3715Mitsina72389.3472.3916Khuruthang72455.6172.4617Gasa73766.6973.7718Dorokha71150.3871.1519Langdru (Khasadrapchu)72090.7772.0920Chanzamtok72242.7572.2421Gomtu Phuentshopelri69883.4269.8822Motithang72242.7572.2423Lungtenzampa72242.7572.2424Olakha72242.7572.2425Samtse Town69825.0969.8326Langlitsawa72702.2472.727Gomtu69883.4269.8828Phuentsholing Truck Parking70320.9570.3229Phuentsholing Dungkhag Office70320.9570.3230Phuentsholing Near MDP70320.9570.32",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,72389.34,72.39
2,Phuentsholing,70320.95,70.32
3,Rinchending,70401.41,70.4
4,Pasakha,70455.05,70.46
5,Chimakothi,71782.83,71.78
6,Chubachu,72242.75,72.24
7,Paro Shaba,72239.7,72.24
8,Haa,72984,72.98
9,Wangdue Zero Point,72478.74,72.48
10,Beychu,72702.24,72.7
11,Samtse Checkpost,69825.09,69.83
12,Sipsoo,71474.67,71.47
13,Pagli,69883.42,69.88
14,Gedu,71373.75,71.37
15,Mitsina,72389.34,72.39
16,Khuruthang,72455.61,72.46
17,Gasa,73766.69,73.77
18,Dorokha,71150.38,71.15
19,Langdru (Khasadrapchu),72090.77,72.09
20,Chanzamtok,72242.75,72.24
21,Gomtu Phuentshopelri,69883.42,69.88
22,Motithang,72242.75,72.24
23,Lungtenzampa,72242.75,72.24
24,Olakha,72242.75,72.24
25,Samtse Town,69825.09,69.83
26,Langlitsawa,72702.24,72.7
27,Gomtu,69883.42,69.88
28,Phuentsholing Truck Parking,70320.95,70.32
29,Phuentsholing Dungkhag Office,70320.95,70.32
30,Phuentsholing Near MDP,70320.95,70.32
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Lobesa72389.3472.392Phuentsholing70320.9570.323Rinchending70401.4170.44Pasakha70455.0570.465Chimakothi71782.8371.786Chubachu72242.7572.247Paro Shaba72239.772.248Haa7298472.989Wangdue Zero Point72478.7472.4810Beychu72702.2472.711Samtse Checkpost69825.0969.8312Sipsoo71474.6771.4713Pagli69883.4269.8814Gedu71373.7571.3715Mitsina72389.3472.3916Khuruthang72455.6172.4617Gasa73766.6973.7718Dorokha71150.3871.1519Langdru (Khasadrapchu)72090.7772.0920Chanzamtok72242.7572.2421Gomtu Phuentshopelri69883.4269.8822Motithang72242.7572.2423Lungtenzampa72242.7572.2424Olakha72242.7572.2425Samtse Town69825.0969.8326Langlitsawa72702.2472.727Gomtu69883.4269.8828Phuentsholing Truck Parking70320.9570.3229Phuentsholing Dungkhag Office70320.9570.3230Phuentsholing Near MDP70320.9570.32",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,72389.34,72.39
2,Phuentsholing,70320.95,70.32
3,Rinchending,70401.41,70.4
4,Pasakha,70455.05,70.46
5,Chimakothi,71782.83,71.78
6,Chubachu,72242.75,72.24
7,Paro Shaba,72239.7,72.24
8,Haa,72984,72.98
9,Wangdue Zero Point,72478.74,72.48
10,Beychu,72702.24,72.7
11,Samtse Checkpost,69825.09,69.83
12,Sipsoo,71474.67,71.47
13,Pagli,69883.42,69.88
14,Gedu,71373.75,71.37
15,Mitsina,72389.34,72.39
16,Khuruthang,72455.61,72.46
17,Gasa,73766.69,73.77
18,Dorokha,71150.38,71.15
19,Langdru (Khasadrapchu),72090.77,72.09
20,Chanzamtok,72242.75,72.24
21,Gomtu Phuentshopelri,69883.42,69.88
22,Motithang,72242.75,72.24
23,Lungtenzampa,72242.75,72.24
24,Olakha,72242.75,72.24
25,Samtse Town,69825.09,69.83
26,Langlitsawa,72702.24,72.7
27,Gomtu,69883.42,69.88
28,Phuentsholing Truck Parking,70320.95,70.32
29,Phuentsholing Dungkhag Office,70320.95,70.32
30,Phuentsholing Near MDP,70320.95,70.32
