"NEW PRICI NG DETA ILSRegion:Central RegionProduct:SKO (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost85366.3978.362Sarpang85727.0378.723Dagapela87126.280.124Tsirang86655.3579.655Zhemgang87102.6380.16Trongsa88067.0181.067Bumthang88972.6681.978Dagana87617.5580.619Lhamoizingkha8712280.110Dangdung86972.6779.9711Panbang86814.6779.8112Tingtibi86346.3879.3413Gelephu Gate85366.3978.3614Gelephu Town85366.3978.36",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,85366.39,78.36
2,Sarpang,85727.03,78.72
3,Dagapela,87126.2,80.12
4,Tsirang,86655.35,79.65
5,Zhemgang,87102.63,80.1
6,Trongsa,88067.01,81.06
7,Bumthang,88972.66,81.97
8,Dagana,87617.55,80.61
9,Lhamoizingkha,87122,80.1
10,Dangdung,86972.67,79.97
11,Panbang,86814.67,79.81
12,Tingtibi,86346.38,79.34
13,Gelephu Gate,85366.39,78.36
14,Gelephu Town,85366.39,78.36
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:SKO (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost85366.3978.362Sarpang85727.0378.723Dagapela87126.280.124Tsirang86655.3579.655Zhemgang87102.6380.16Trongsa88067.0181.067Bumthang88972.6681.978Dagana87617.5580.619Lhamoizingkha8712280.110Dangdung86972.6779.9711Panbang86814.6779.8112Tingtibi86346.3879.3413Gelephu Gate85366.3978.3614Gelephu Town85366.3978.36",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,85366.39,78.36
2,Sarpang,85727.03,78.72
3,Dagapela,87126.2,80.12
4,Tsirang,86655.35,79.65
5,Zhemgang,87102.63,80.1
6,Trongsa,88067.01,81.06
7,Bumthang,88972.66,81.97
8,Dagana,87617.55,80.61
9,Lhamoizingkha,87122,80.1
10,Dangdung,86972.67,79.97
11,Panbang,86814.67,79.81
12,Tingtibi,86346.38,79.34
13,Gelephu Gate,85366.39,78.36
14,Gelephu Town,85366.39,78.36
