"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost71189.271.192Sarpang71539.2171.543Dagapela72903.6872.94Tsirang72426.8172.435Zhemgang73127.9573.136Trongsa74095.3174.17Bumthang74969.2974.978Dagana73401.5473.49Lhamoizingkha72196.7372.210Dangdung74648.0174.6511Panbang72741.7372.7412Tingtibi72378.7972.3813Gelephu Gate71189.271.1914Gelephu Town71189.271.19",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,71189.2,71.19
2,Sarpang,71539.21,71.54
3,Dagapela,72903.68,72.9
4,Tsirang,72426.81,72.43
5,Zhemgang,73127.95,73.13
6,Trongsa,74095.31,74.1
7,Bumthang,74969.29,74.97
8,Dagana,73401.54,73.4
9,Lhamoizingkha,72196.73,72.2
10,Dangdung,74648.01,74.65
11,Panbang,72741.73,72.74
12,Tingtibi,72378.79,72.38
13,Gelephu Gate,71189.2,71.19
14,Gelephu Town,71189.2,71.19
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost71189.271.192Sarpang71539.2171.543Dagapela72903.6872.94Tsirang72426.8172.435Zhemgang73127.9573.136Trongsa74095.3174.17Bumthang74969.2974.978Dagana73401.5473.49Lhamoizingkha72196.7372.210Dangdung74648.0174.6511Panbang72741.7372.7412Tingtibi72378.7972.3813Gelephu Gate71189.271.1914Gelephu Town71189.271.19",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,71189.2,71.19
2,Sarpang,71539.21,71.54
3,Dagapela,72903.68,72.9
4,Tsirang,72426.81,72.43
5,Zhemgang,73127.95,73.13
6,Trongsa,74095.31,74.1
7,Bumthang,74969.29,74.97
8,Dagana,73401.54,73.4
9,Lhamoizingkha,72196.73,72.2
10,Dangdung,74648.01,74.65
11,Panbang,72741.73,72.74
12,Tingtibi,72378.79,72.38
13,Gelephu Gate,71189.2,71.19
14,Gelephu Town,71189.2,71.19
