"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost75394.5775.392Sarpang75786.2175.793Dagapela77286.6277.294Tsirang76833.3376.835Zhemgang77561.2577.566Trongsa78516.9778.527Bumthang79514.9679.518Dagana77829.0277.839Lhamoizingkha76405.0176.4110Dangdung78956.4378.9611Panbang76947.176.9512Tingtibi76638.676.6413Gelephu Gate75394.5775.3914Gelephu Town75394.5775.39",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,75394.57,75.39
2,Sarpang,75786.21,75.79
3,Dagapela,77286.62,77.29
4,Tsirang,76833.33,76.83
5,Zhemgang,77561.25,77.56
6,Trongsa,78516.97,78.52
7,Bumthang,79514.96,79.51
8,Dagana,77829.02,77.83
9,Lhamoizingkha,76405.01,76.41
10,Dangdung,78956.43,78.96
11,Panbang,76947.1,76.95
12,Tingtibi,76638.6,76.64
13,Gelephu Gate,75394.57,75.39
14,Gelephu Town,75394.57,75.39
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost75394.5775.392Sarpang75786.2175.793Dagapela77286.6277.294Tsirang76833.3376.835Zhemgang77561.2577.566Trongsa78516.9778.527Bumthang79514.9679.518Dagana77829.0277.839Lhamoizingkha76405.0176.4110Dangdung78956.4378.9611Panbang76947.176.9512Tingtibi76638.676.6413Gelephu Gate75394.5775.3914Gelephu Town75394.5775.39",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,75394.57,75.39
2,Sarpang,75786.21,75.79
3,Dagapela,77286.62,77.29
4,Tsirang,76833.33,76.83
5,Zhemgang,77561.25,77.56
6,Trongsa,78516.97,78.52
7,Bumthang,79514.96,79.51
8,Dagana,77829.02,77.83
9,Lhamoizingkha,76405.01,76.41
10,Dangdung,78956.43,78.96
11,Panbang,76947.1,76.95
12,Tingtibi,76638.6,76.64
13,Gelephu Gate,75394.57,75.39
14,Gelephu Town,75394.57,75.39
