"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Samdrup Jongkhar76157.0776.162Wamrong77821.0377.823Trashigang77899.4877.94Trashiyangtse78983.5378.985Mongar79072.8779.076Gyelposing78911.8378.917Kanglung78243.9678.248Pemagatshel77634.7877.639Lhuntse79538.9379.5410Jomotsangkha77002.787711Autsho79150.7879.1512Doksum78206.2378.2113Bhangtar76764.9976.7614Rangjung78234.6278.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,76157.07,76.16
2,Wamrong,77821.03,77.82
3,Trashigang,77899.48,77.9
4,Trashiyangtse,78983.53,78.98
5,Mongar,79072.87,79.07
6,Gyelposing,78911.83,78.91
7,Kanglung,78243.96,78.24
8,Pemagatshel,77634.78,77.63
9,Lhuntse,79538.93,79.54
10,Jomotsangkha,77002.78,77
11,Autsho,79150.78,79.15
12,Doksum,78206.23,78.21
13,Bhangtar,76764.99,76.76
14,Rangjung,78234.62,78.23
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2022-01-16#StationRSP/KLRSP/L1Samdrup Jongkhar76157.0776.162Wamrong77821.0377.823Trashigang77899.4877.94Trashiyangtse78983.5378.985Mongar79072.8779.076Gyelposing78911.8378.917Kanglung78243.9678.248Pemagatshel77634.7877.639Lhuntse79538.9379.5410Jomotsangkha77002.787711Autsho79150.7879.1512Doksum78206.2378.2113Bhangtar76764.9976.7614Rangjung78234.6278.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,76157.07,76.16
2,Wamrong,77821.03,77.82
3,Trashigang,77899.48,77.9
4,Trashiyangtse,78983.53,78.98
5,Mongar,79072.87,79.07
6,Gyelposing,78911.83,78.91
7,Kanglung,78243.96,78.24
8,Pemagatshel,77634.78,77.63
9,Lhuntse,79538.93,79.54
10,Jomotsangkha,77002.78,77
11,Autsho,79150.78,79.15
12,Doksum,78206.23,78.21
13,Bhangtar,76764.99,76.76
14,Rangjung,78234.62,78.23
