"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Nganglam98722.6998.722Samdrup Jongkhar Gate98938.0998.943Nganglam Potonala98722.6998.724Wamrong100555.21100.565Trashigang100672.49100.676Trashiyangtse101720.38101.727Mongar101824.24101.828Gyelposing101692.23101.699Kanglung100984.42100.9810Pemagatshel100380.7100.3811Lhuntse102302.59102.312Jomotsangkha98938.0998.9413Autsho101921.12101.9214Doksum100965.3100.9715Bhangtar99546.0199.5516Rangjung100996.6210117Samdrup Jongkhar Upper Town98938.0998.94",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,98722.69,98.72
2,Samdrup Jongkhar Gate,98938.09,98.94
3,Nganglam Potonala,98722.69,98.72
4,Wamrong,100555.21,100.56
5,Trashigang,100672.49,100.67
6,Trashiyangtse,101720.38,101.72
7,Mongar,101824.24,101.82
8,Gyelposing,101692.23,101.69
9,Kanglung,100984.42,100.98
10,Pemagatshel,100380.7,100.38
11,Lhuntse,102302.59,102.3
12,Jomotsangkha,98938.09,98.94
13,Autsho,101921.12,101.92
14,Doksum,100965.3,100.97
15,Bhangtar,99546.01,99.55
16,Rangjung,100996.62,101
17,Samdrup Jongkhar Upper Town,98938.09,98.94
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Nganglam98722.6998.722Samdrup Jongkhar Gate98938.0998.943Nganglam Potonala98722.6998.724Wamrong100555.21100.565Trashigang100672.49100.676Trashiyangtse101720.38101.727Mongar101824.24101.828Gyelposing101692.23101.699Kanglung100984.42100.9810Pemagatshel100380.7100.3811Lhuntse102302.59102.312Jomotsangkha98938.0998.9413Autsho101921.12101.9214Doksum100965.3100.9715Bhangtar99546.0199.5516Rangjung100996.6210117Samdrup Jongkhar Upper Town98938.0998.94",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,98722.69,98.72
2,Samdrup Jongkhar Gate,98938.09,98.94
3,Nganglam Potonala,98722.69,98.72
4,Wamrong,100555.21,100.56
5,Trashigang,100672.49,100.67
6,Trashiyangtse,101720.38,101.72
7,Mongar,101824.24,101.82
8,Gyelposing,101692.23,101.69
9,Kanglung,100984.42,100.98
10,Pemagatshel,100380.7,100.38
11,Lhuntse,102302.59,102.3
12,Jomotsangkha,98938.09,98.94
13,Autsho,101921.12,101.92
14,Doksum,100965.3,100.97
15,Bhangtar,99546.01,99.55
16,Rangjung,100996.62,101
17,Samdrup Jongkhar Upper Town,98938.09,98.94
