"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-12-16#StationRSP/KLRSP/L1Samdrup Jongkhar72466.8872.472Wamrong74092.5574.093Trashigang74202.7474.24Trashiyangtse75257.2375.265Mongar75358.4475.366Gyelposing75221.1475.227Kanglung74520.6174.528Pemagatshel73915.973.929Lhuntse75834.5575.8310Jomotsangkha73324.9773.3211Autsho75451.8675.4512Doksum74505.474.5113Bhangtar73074.873.0714Rangjung74528.8874.53",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,72466.88,72.47
2,Wamrong,74092.55,74.09
3,Trashigang,74202.74,74.2
4,Trashiyangtse,75257.23,75.26
5,Mongar,75358.44,75.36
6,Gyelposing,75221.14,75.22
7,Kanglung,74520.61,74.52
8,Pemagatshel,73915.9,73.92
9,Lhuntse,75834.55,75.83
10,Jomotsangkha,73324.97,73.32
11,Autsho,75451.86,75.45
12,Doksum,74505.4,74.51
13,Bhangtar,73074.8,73.07
14,Rangjung,74528.88,74.53
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-12-16#StationRSP/KLRSP/L1Samdrup Jongkhar72466.8872.472Wamrong74092.5574.093Trashigang74202.7474.24Trashiyangtse75257.2375.265Mongar75358.4475.366Gyelposing75221.1475.227Kanglung74520.6174.528Pemagatshel73915.973.929Lhuntse75834.5575.8310Jomotsangkha73324.9773.3211Autsho75451.8675.4512Doksum74505.474.5113Bhangtar73074.873.0714Rangjung74528.8874.53",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,72466.88,72.47
2,Wamrong,74092.55,74.09
3,Trashigang,74202.74,74.2
4,Trashiyangtse,75257.23,75.26
5,Mongar,75358.44,75.36
6,Gyelposing,75221.14,75.22
7,Kanglung,74520.61,74.52
8,Pemagatshel,73915.9,73.92
9,Lhuntse,75834.55,75.83
10,Jomotsangkha,73324.97,73.32
11,Autsho,75451.86,75.45
12,Doksum,74505.4,74.51
13,Bhangtar,73074.8,73.07
14,Rangjung,74528.88,74.53
