"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Phuentsholing68413.5668.412Rinchending68494.0268.493Pasakha68547.6668.554Chimakothi69858.7369.865Lungtenzampa70319.7670.326Paro Town70315.3370.327Haa71053.4771.058Bajo Town70563.4570.569Beychu70786.9570.7910Samtse Town67909.8467.9111Sipsoo69565.4169.5712Gomtu67969.2967.9713Gedu69449.3569.4514Khuruthang70540.7170.5415Gasa71837.4971.8416Motithang70319.7670.3217Olakha70319.7670.3218Paro NIE Bridge70315.3370.3219Langlitsawa70786.9570.7920Wangdue Zero Point70563.4570.5621Phuentsholing Main gate68413.5668.41",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,68413.56,68.41
2,Rinchending,68494.02,68.49
3,Pasakha,68547.66,68.55
4,Chimakothi,69858.73,69.86
5,Lungtenzampa,70319.76,70.32
6,Paro Town,70315.33,70.32
7,Haa,71053.47,71.05
8,Bajo Town,70563.45,70.56
9,Beychu,70786.95,70.79
10,Samtse Town,67909.84,67.91
11,Sipsoo,69565.41,69.57
12,Gomtu,67969.29,67.97
13,Gedu,69449.35,69.45
14,Khuruthang,70540.71,70.54
15,Gasa,71837.49,71.84
16,Motithang,70319.76,70.32
17,Olakha,70319.76,70.32
18,Paro NIE Bridge,70315.33,70.32
19,Langlitsawa,70786.95,70.79
20,Wangdue Zero Point,70563.45,70.56
21,Phuentsholing Main gate,68413.56,68.41
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Phuentsholing68413.5668.412Rinchending68494.0268.493Pasakha68547.6668.554Chimakothi69858.7369.865Lungtenzampa70319.7670.326Paro Town70315.3370.327Haa71053.4771.058Bajo Town70563.4570.569Beychu70786.9570.7910Samtse Town67909.8467.9111Sipsoo69565.4169.5712Gomtu67969.2967.9713Gedu69449.3569.4514Khuruthang70540.7170.5415Gasa71837.4971.8416Motithang70319.7670.3217Olakha70319.7670.3218Paro NIE Bridge70315.3370.3219Langlitsawa70786.9570.7920Wangdue Zero Point70563.4570.5621Phuentsholing Main gate68413.5668.41",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,68413.56,68.41
2,Rinchending,68494.02,68.49
3,Pasakha,68547.66,68.55
4,Chimakothi,69858.73,69.86
5,Lungtenzampa,70319.76,70.32
6,Paro Town,70315.33,70.32
7,Haa,71053.47,71.05
8,Bajo Town,70563.45,70.56
9,Beychu,70786.95,70.79
10,Samtse Town,67909.84,67.91
11,Sipsoo,69565.41,69.57
12,Gomtu,67969.29,67.97
13,Gedu,69449.35,69.45
14,Khuruthang,70540.71,70.54
15,Gasa,71837.49,71.84
16,Motithang,70319.76,70.32
17,Olakha,70319.76,70.32
18,Paro NIE Bridge,70315.33,70.32
19,Langlitsawa,70786.95,70.79
20,Wangdue Zero Point,70563.45,70.56
21,Phuentsholing Main gate,68413.56,68.41
