"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:SKO (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Nganglam86227.4979.222Samdrup Jongkhar Gate85587.5978.583Nganglam Potonala86227.4979.224Wamrong87061.180.065Trashigang87297.4380.296Trashiyangtse88234.4681.237Mongar88382.8381.388Gyelposing88339.8681.349Kanglung87509.5980.510Pemagatshel86922.5879.9211Lhuntse88898.8881.8912Jomotsangkha86290.6979.2913Autsho88537.8781.5314Doksum87574.8980.5715Bhangtar86195.5179.1916Rangjung87587.7980.5817Samdrup Jongkhar Upper Town85587.5978.58",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,86227.49,79.22
2,Samdrup Jongkhar Gate,85587.59,78.58
3,Nganglam Potonala,86227.49,79.22
4,Wamrong,87061.1,80.06
5,Trashigang,87297.43,80.29
6,Trashiyangtse,88234.46,81.23
7,Mongar,88382.83,81.38
8,Gyelposing,88339.86,81.34
9,Kanglung,87509.59,80.5
10,Pemagatshel,86922.58,79.92
11,Lhuntse,88898.88,81.89
12,Jomotsangkha,86290.69,79.29
13,Autsho,88537.87,81.53
14,Doksum,87574.89,80.57
15,Bhangtar,86195.51,79.19
16,Rangjung,87587.79,80.58
17,Samdrup Jongkhar Upper Town,85587.59,78.58
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:SKO (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Nganglam86227.4979.222Samdrup Jongkhar Gate85587.5978.583Nganglam Potonala86227.4979.224Wamrong87061.180.065Trashigang87297.4380.296Trashiyangtse88234.4681.237Mongar88382.8381.388Gyelposing88339.8681.349Kanglung87509.5980.510Pemagatshel86922.5879.9211Lhuntse88898.8881.8912Jomotsangkha86290.6979.2913Autsho88537.8781.5314Doksum87574.8980.5715Bhangtar86195.5179.1916Rangjung87587.7980.5817Samdrup Jongkhar Upper Town85587.5978.58",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,86227.49,79.22
2,Samdrup Jongkhar Gate,85587.59,78.58
3,Nganglam Potonala,86227.49,79.22
4,Wamrong,87061.1,80.06
5,Trashigang,87297.43,80.29
6,Trashiyangtse,88234.46,81.23
7,Mongar,88382.83,81.38
8,Gyelposing,88339.86,81.34
9,Kanglung,87509.59,80.5
10,Pemagatshel,86922.58,79.92
11,Lhuntse,88898.88,81.89
12,Jomotsangkha,86290.69,79.29
13,Autsho,88537.87,81.53
14,Doksum,87574.89,80.57
15,Bhangtar,86195.51,79.19
16,Rangjung,87587.79,80.58
17,Samdrup Jongkhar Upper Town,85587.59,78.58
