"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Lobesa70509.0570.512Phuentsholing68448.4168.453Rinchending68528.8768.534Pasakha68582.5168.585Chimakothi69893.8869.896Chubachu70354.970.357Paro Shaba70350.4970.358Haa71088.7471.099Wangdue Zero Point70598.4570.610Beychu70821.9570.8211Samtse Checkpost67944.6867.9412Sipsoo69600.2969.613Pagli68004.146814Gedu69484.5169.4815Mitsina70509.0570.5116Khuruthang70575.770.5817Gasa71872.7371.8718Dorokha69269.9969.2719Langdru (Khasadrapchu)70202.9270.220Chanzamtok70354.970.3521Gomtu Phuentshopelri68004.146822Motithang70354.970.3523Lungtenzampa70354.970.3524Olakha70354.970.3525Samtse Town67944.6867.9426Langlitsawa70821.9570.8227Gomtu68004.146828Phuentsholing Truck Parking68448.4168.4529Phuentsholing Dungkhag Office68448.4168.4530Phuentsholing Near MDP68448.4168.45",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,70509.05,70.51
2,Phuentsholing,68448.41,68.45
3,Rinchending,68528.87,68.53
4,Pasakha,68582.51,68.58
5,Chimakothi,69893.88,69.89
6,Chubachu,70354.9,70.35
7,Paro Shaba,70350.49,70.35
8,Haa,71088.74,71.09
9,Wangdue Zero Point,70598.45,70.6
10,Beychu,70821.95,70.82
11,Samtse Checkpost,67944.68,67.94
12,Sipsoo,69600.29,69.6
13,Pagli,68004.14,68
14,Gedu,69484.51,69.48
15,Mitsina,70509.05,70.51
16,Khuruthang,70575.7,70.58
17,Gasa,71872.73,71.87
18,Dorokha,69269.99,69.27
19,Langdru (Khasadrapchu),70202.92,70.2
20,Chanzamtok,70354.9,70.35
21,Gomtu Phuentshopelri,68004.14,68
22,Motithang,70354.9,70.35
23,Lungtenzampa,70354.9,70.35
24,Olakha,70354.9,70.35
25,Samtse Town,67944.68,67.94
26,Langlitsawa,70821.95,70.82
27,Gomtu,68004.14,68
28,Phuentsholing Truck Parking,68448.41,68.45
29,Phuentsholing Dungkhag Office,68448.41,68.45
30,Phuentsholing Near MDP,68448.41,68.45
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Lobesa70509.0570.512Phuentsholing68448.4168.453Rinchending68528.8768.534Pasakha68582.5168.585Chimakothi69893.8869.896Chubachu70354.970.357Paro Shaba70350.4970.358Haa71088.7471.099Wangdue Zero Point70598.4570.610Beychu70821.9570.8211Samtse Checkpost67944.6867.9412Sipsoo69600.2969.613Pagli68004.146814Gedu69484.5169.4815Mitsina70509.0570.5116Khuruthang70575.770.5817Gasa71872.7371.8718Dorokha69269.9969.2719Langdru (Khasadrapchu)70202.9270.220Chanzamtok70354.970.3521Gomtu Phuentshopelri68004.146822Motithang70354.970.3523Lungtenzampa70354.970.3524Olakha70354.970.3525Samtse Town67944.6867.9426Langlitsawa70821.9570.8227Gomtu68004.146828Phuentsholing Truck Parking68448.4168.4529Phuentsholing Dungkhag Office68448.4168.4530Phuentsholing Near MDP68448.4168.45",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,70509.05,70.51
2,Phuentsholing,68448.41,68.45
3,Rinchending,68528.87,68.53
4,Pasakha,68582.51,68.58
5,Chimakothi,69893.88,69.89
6,Chubachu,70354.9,70.35
7,Paro Shaba,70350.49,70.35
8,Haa,71088.74,71.09
9,Wangdue Zero Point,70598.45,70.6
10,Beychu,70821.95,70.82
11,Samtse Checkpost,67944.68,67.94
12,Sipsoo,69600.29,69.6
13,Pagli,68004.14,68
14,Gedu,69484.51,69.48
15,Mitsina,70509.05,70.51
16,Khuruthang,70575.7,70.58
17,Gasa,71872.73,71.87
18,Dorokha,69269.99,69.27
19,Langdru (Khasadrapchu),70202.92,70.2
20,Chanzamtok,70354.9,70.35
21,Gomtu Phuentshopelri,68004.14,68
22,Motithang,70354.9,70.35
23,Lungtenzampa,70354.9,70.35
24,Olakha,70354.9,70.35
25,Samtse Town,67944.68,67.94
26,Langlitsawa,70821.95,70.82
27,Gomtu,68004.14,68
28,Phuentsholing Truck Parking,68448.41,68.45
29,Phuentsholing Dungkhag Office,68448.41,68.45
30,Phuentsholing Near MDP,68448.41,68.45
