"NEW PRICI NG DETA ILSRegion:Western RegionProduct:Non-Subsidized LPG (No. of Cylinder)Approved Date:2022-04-01#StationRSP/L1Lobesa1384.512Phuentsholing1316.853Rinchending1319.914Pasakha1321.955Chimakothi1349.156Chubachu1368.197Paro Shaba1366.158Haa1385.879Wangdue Zero Point1387.9110Beychu1399.8111Samtse Checkpost1342.0112Sipsoo1359.0113Pagli1340.6514Gedu1333.1715Mitsina1384.5116Khuruthang1387.5717Gasa1417.4918Dorokha1334.5319Langdru (Khasadrapchu)1362.4120Chanzamtok1368.1921Gomtu Phuentshopelri1337.2522Motithang1368.1923Lungtenzampa1368.1924Olakha1368.1925Samtse Town1342.0126Langlitsawa1398.1127Gomtu1337.2528Phuentsholing Truck Parking1316.8529Phuentsholing Dungkhag Office1316.8530Phuentsholing Near MDP1316.85",,
"#",Station,RSP/L
1,Lobesa,1384.51
2,Phuentsholing,1316.85
3,Rinchending,1319.91
4,Pasakha,1321.95
5,Chimakothi,1349.15
6,Chubachu,1368.19
7,Paro Shaba,1366.15
8,Haa,1385.87
9,Wangdue Zero Point,1387.91
10,Beychu,1399.81
11,Samtse Checkpost,1342.01
12,Sipsoo,1359.01
13,Pagli,1340.65
14,Gedu,1333.17
15,Mitsina,1384.51
16,Khuruthang,1387.57
17,Gasa,1417.49
18,Dorokha,1334.53
19,Langdru (Khasadrapchu),1362.41
20,Chanzamtok,1368.19
21,Gomtu Phuentshopelri,1337.25
22,Motithang,1368.19
23,Lungtenzampa,1368.19
24,Olakha,1368.19
25,Samtse Town,1342.01
26,Langlitsawa,1398.11
27,Gomtu,1337.25
28,Phuentsholing Truck Parking,1316.85
29,Phuentsholing Dungkhag Office,1316.85
30,Phuentsholing Near MDP,1316.85
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:Non-Subsidized LPG (No. of Cylinder)Approved Date:2022-04-01#StationRSP/L1Lobesa1384.512Phuentsholing1316.853Rinchending1319.914Pasakha1321.955Chimakothi1349.156Chubachu1368.197Paro Shaba1366.158Haa1385.879Wangdue Zero Point1387.9110Beychu1399.8111Samtse Checkpost1342.0112Sipsoo1359.0113Pagli1340.6514Gedu1333.1715Mitsina1384.5116Khuruthang1387.5717Gasa1417.4918Dorokha1334.5319Langdru (Khasadrapchu)1362.4120Chanzamtok1368.1921Gomtu Phuentshopelri1337.2522Motithang1368.1923Lungtenzampa1368.1924Olakha1368.1925Samtse Town1342.0126Langlitsawa1398.1127Gomtu1337.2528Phuentsholing Truck Parking1316.8529Phuentsholing Dungkhag Office1316.8530Phuentsholing Near MDP1316.85",,
"#",Station,RSP/L
1,Lobesa,1384.51
2,Phuentsholing,1316.85
3,Rinchending,1319.91
4,Pasakha,1321.95
5,Chimakothi,1349.15
6,Chubachu,1368.19
7,Paro Shaba,1366.15
8,Haa,1385.87
9,Wangdue Zero Point,1387.91
10,Beychu,1399.81
11,Samtse Checkpost,1342.01
12,Sipsoo,1359.01
13,Pagli,1340.65
14,Gedu,1333.17
15,Mitsina,1384.51
16,Khuruthang,1387.57
17,Gasa,1417.49
18,Dorokha,1334.53
19,Langdru (Khasadrapchu),1362.41
20,Chanzamtok,1368.19
21,Gomtu Phuentshopelri,1337.25
22,Motithang,1368.19
23,Lungtenzampa,1368.19
24,Olakha,1368.19
25,Samtse Town,1342.01
26,Langlitsawa,1398.11
27,Gomtu,1337.25
28,Phuentsholing Truck Parking,1316.85
29,Phuentsholing Dungkhag Office,1316.85
30,Phuentsholing Near MDP,1316.85
