"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Gelephu Town6932969.332Sarpang69676.6669.683Dagapela71033.4771.034Tsirang70555.2770.565Zhemgang73668.773.676Trongsa72652.0372.657Bumthang73089.973.098Dagana71528.8171.539Lhamoizingkha69420.8469.4210Dangdung7278272.7811Panbang70881.5370.8812Tingtibi71092.2271.09",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,69329,69.33
2,Sarpang,69676.66,69.68
3,Dagapela,71033.47,71.03
4,Tsirang,70555.27,70.56
5,Zhemgang,73668.7,73.67
6,Trongsa,72652.03,72.65
7,Bumthang,73089.9,73.09
8,Dagana,71528.81,71.53
9,Lhamoizingkha,69420.84,69.42
10,Dangdung,72782,72.78
11,Panbang,70881.53,70.88
12,Tingtibi,71092.22,71.09
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-12-01#StationRSP/KLRSP/L1Gelephu Town6932969.332Sarpang69676.6669.683Dagapela71033.4771.034Tsirang70555.2770.565Zhemgang73668.773.676Trongsa72652.0372.657Bumthang73089.973.098Dagana71528.8171.539Lhamoizingkha69420.8469.4210Dangdung7278272.7811Panbang70881.5370.8812Tingtibi71092.2271.09",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,69329,69.33
2,Sarpang,69676.66,69.68
3,Dagapela,71033.47,71.03
4,Tsirang,70555.27,70.56
5,Zhemgang,73668.7,73.67
6,Trongsa,72652.03,72.65
7,Bumthang,73089.9,73.09
8,Dagana,71528.81,71.53
9,Lhamoizingkha,69420.84,69.42
10,Dangdung,72782,72.78
11,Panbang,70881.53,70.88
12,Tingtibi,71092.22,71.09
