"NEW PRICI NG DETA ILSRegion:Central RegionProduct:Non-Subsidized LPG (No. of Cylinder)Approved Date:2022-04-01#StationRSP/L1Gelephu Forest Checkpost1297.472Sarpang1308.693Dagapela1349.494Tsirang1329.435Zhemgang1342.696Trongsa1380.437Bumthang1403.558Dagana1364.119Lhamoizingkha1354.9310Dangdung1349.1511Panbang1352.5512Tingtibi1329.7713Gelephu Gate1297.4714Gelephu Town1297.47",,
"#",Station,RSP/L
1,Gelephu Forest Checkpost,1297.47
2,Sarpang,1308.69
3,Dagapela,1349.49
4,Tsirang,1329.43
5,Zhemgang,1342.69
6,Trongsa,1380.43
7,Bumthang,1403.55
8,Dagana,1364.11
9,Lhamoizingkha,1354.93
10,Dangdung,1349.15
11,Panbang,1352.55
12,Tingtibi,1329.77
13,Gelephu Gate,1297.47
14,Gelephu Town,1297.47
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:Non-Subsidized LPG (No. of Cylinder)Approved Date:2022-04-01#StationRSP/L1Gelephu Forest Checkpost1297.472Sarpang1308.693Dagapela1349.494Tsirang1329.435Zhemgang1342.696Trongsa1380.437Bumthang1403.558Dagana1364.119Lhamoizingkha1354.9310Dangdung1349.1511Panbang1352.5512Tingtibi1329.7713Gelephu Gate1297.4714Gelephu Town1297.47",,
"#",Station,RSP/L
1,Gelephu Forest Checkpost,1297.47
2,Sarpang,1308.69
3,Dagapela,1349.49
4,Tsirang,1329.43
5,Zhemgang,1342.69
6,Trongsa,1380.43
7,Bumthang,1403.55
8,Dagana,1364.11
9,Lhamoizingkha,1354.93
10,Dangdung,1349.15
11,Panbang,1352.55
12,Tingtibi,1329.77
13,Gelephu Gate,1297.47
14,Gelephu Town,1297.47
