"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-11-16#StationRSP/KLRSP/L1Samdrup Jongkhar77996.41782Wamrong79679.4679.683Trashigang79742.0879.744Trashiyangtse80840.8780.845Mongar80924.2980.926Gyelposing80751.4280.757Kanglung80099.8280.18Pemagatshel79488.4379.499Lhuntse81385.3481.3910Jomotsangkha78854.578.8511Autsho80994.4780.9912Doksum80050.8880.0513Bhangtar78604.3378.614Rangjung80081.7180.08",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,77996.41,78
2,Wamrong,79679.46,79.68
3,Trashigang,79742.08,79.74
4,Trashiyangtse,80840.87,80.84
5,Mongar,80924.29,80.92
6,Gyelposing,80751.42,80.75
7,Kanglung,80099.82,80.1
8,Pemagatshel,79488.43,79.49
9,Lhuntse,81385.34,81.39
10,Jomotsangkha,78854.5,78.85
11,Autsho,80994.47,80.99
12,Doksum,80050.88,80.05
13,Bhangtar,78604.33,78.6
14,Rangjung,80081.71,80.08
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-11-16#StationRSP/KLRSP/L1Samdrup Jongkhar77996.41782Wamrong79679.4679.683Trashigang79742.0879.744Trashiyangtse80840.8780.845Mongar80924.2980.926Gyelposing80751.4280.757Kanglung80099.8280.18Pemagatshel79488.4379.499Lhuntse81385.3481.3910Jomotsangkha78854.578.8511Autsho80994.4780.9912Doksum80050.8880.0513Bhangtar78604.3378.614Rangjung80081.7180.08",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,77996.41,78
2,Wamrong,79679.46,79.68
3,Trashigang,79742.08,79.74
4,Trashiyangtse,80840.87,80.84
5,Mongar,80924.29,80.92
6,Gyelposing,80751.42,80.75
7,Kanglung,80099.82,80.1
8,Pemagatshel,79488.43,79.49
9,Lhuntse,81385.34,81.39
10,Jomotsangkha,78854.5,78.85
11,Autsho,80994.47,80.99
12,Doksum,80050.88,80.05
13,Bhangtar,78604.33,78.6
14,Rangjung,80081.71,80.08
