"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-11-01#StationRSP/KLRSP/L1Phuentsholing83982.5483.982Rinchending8406384.063Pasakha84116.6484.124Chimakothi85846.1985.855Lungtenzampa86279.4186.286Paro Town86309.5386.317Haa87201.9287.28Bajo Town86330.0886.339Beychu86553.5886.5510Samtse Town83477.5883.4811Sipsoo85181.1785.1812Gomtu83537.1883.5413Gedu85444.485.4414Khuruthang86297.6586.315Gasa87952.6587.9516Motithang86279.4186.2817Olakha86279.4186.2818Paro NIE Bridge86309.5386.3119Langlitsawa86553.5886.5520Wangdue Zero Point86330.0886.3321Phuentsholing Main gate83982.5483.98",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,83982.54,83.98
2,Rinchending,84063,84.06
3,Pasakha,84116.64,84.12
4,Chimakothi,85846.19,85.85
5,Lungtenzampa,86279.41,86.28
6,Paro Town,86309.53,86.31
7,Haa,87201.92,87.2
8,Bajo Town,86330.08,86.33
9,Beychu,86553.58,86.55
10,Samtse Town,83477.58,83.48
11,Sipsoo,85181.17,85.18
12,Gomtu,83537.18,83.54
13,Gedu,85444.4,85.44
14,Khuruthang,86297.65,86.3
15,Gasa,87952.65,87.95
16,Motithang,86279.41,86.28
17,Olakha,86279.41,86.28
18,Paro NIE Bridge,86309.53,86.31
19,Langlitsawa,86553.58,86.55
20,Wangdue Zero Point,86330.08,86.33
21,Phuentsholing Main gate,83982.54,83.98
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-11-01#StationRSP/KLRSP/L1Phuentsholing83982.5483.982Rinchending8406384.063Pasakha84116.6484.124Chimakothi85846.1985.855Lungtenzampa86279.4186.286Paro Town86309.5386.317Haa87201.9287.28Bajo Town86330.0886.339Beychu86553.5886.5510Samtse Town83477.5883.4811Sipsoo85181.1785.1812Gomtu83537.1883.5413Gedu85444.485.4414Khuruthang86297.6586.315Gasa87952.6587.9516Motithang86279.4186.2817Olakha86279.4186.2818Paro NIE Bridge86309.5386.3119Langlitsawa86553.5886.5520Wangdue Zero Point86330.0886.3321Phuentsholing Main gate83982.5483.98",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,83982.54,83.98
2,Rinchending,84063,84.06
3,Pasakha,84116.64,84.12
4,Chimakothi,85846.19,85.85
5,Lungtenzampa,86279.41,86.28
6,Paro Town,86309.53,86.31
7,Haa,87201.92,87.2
8,Bajo Town,86330.08,86.33
9,Beychu,86553.58,86.55
10,Samtse Town,83477.58,83.48
11,Sipsoo,85181.17,85.18
12,Gomtu,83537.18,83.54
13,Gedu,85444.4,85.44
14,Khuruthang,86297.65,86.3
15,Gasa,87952.65,87.95
16,Motithang,86279.41,86.28
17,Olakha,86279.41,86.28
18,Paro NIE Bridge,86309.53,86.31
19,Langlitsawa,86553.58,86.55
20,Wangdue Zero Point,86330.08,86.33
21,Phuentsholing Main gate,83982.54,83.98
