"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-11-01#StationRSP/KLRSP/L1Nganglam79634.2379.632Samdrup Jongkhar Gate79745.579.753Nganglam Potonala79634.2379.634Wamrong81220.0181.225Trashigang81455.5181.466Trashiyangtse82393.3182.397Mongar82541.3782.548Gyelposing82497.7882.59Kanglung81668.3781.6710Pemagatshel81081.2481.0811Lhuntse83057.1683.0612Jomotsangkha79745.579.7513Autsho82696.0182.714Doksum81742.0281.7415Bhangtar80353.4280.3516Rangjung81746.181.7517Samdrup Jongkhar Upper Town79745.579.75",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,79634.23,79.63
2,Samdrup Jongkhar Gate,79745.5,79.75
3,Nganglam Potonala,79634.23,79.63
4,Wamrong,81220.01,81.22
5,Trashigang,81455.51,81.46
6,Trashiyangtse,82393.31,82.39
7,Mongar,82541.37,82.54
8,Gyelposing,82497.78,82.5
9,Kanglung,81668.37,81.67
10,Pemagatshel,81081.24,81.08
11,Lhuntse,83057.16,83.06
12,Jomotsangkha,79745.5,79.75
13,Autsho,82696.01,82.7
14,Doksum,81742.02,81.74
15,Bhangtar,80353.42,80.35
16,Rangjung,81746.1,81.75
17,Samdrup Jongkhar Upper Town,79745.5,79.75
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-11-01#StationRSP/KLRSP/L1Nganglam79634.2379.632Samdrup Jongkhar Gate79745.579.753Nganglam Potonala79634.2379.634Wamrong81220.0181.225Trashigang81455.5181.466Trashiyangtse82393.3182.397Mongar82541.3782.548Gyelposing82497.7882.59Kanglung81668.3781.6710Pemagatshel81081.2481.0811Lhuntse83057.1683.0612Jomotsangkha79745.579.7513Autsho82696.0182.714Doksum81742.0281.7415Bhangtar80353.4280.3516Rangjung81746.181.7517Samdrup Jongkhar Upper Town79745.579.75",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,79634.23,79.63
2,Samdrup Jongkhar Gate,79745.5,79.75
3,Nganglam Potonala,79634.23,79.63
4,Wamrong,81220.01,81.22
5,Trashigang,81455.51,81.46
6,Trashiyangtse,82393.31,82.39
7,Mongar,82541.37,82.54
8,Gyelposing,82497.78,82.5
9,Kanglung,81668.37,81.67
10,Pemagatshel,81081.24,81.08
11,Lhuntse,83057.16,83.06
12,Jomotsangkha,79745.5,79.75
13,Autsho,82696.01,82.7
14,Doksum,81742.02,81.74
15,Bhangtar,80353.42,80.35
16,Rangjung,81746.1,81.75
17,Samdrup Jongkhar Upper Town,79745.5,79.75
