"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-10-16#StationRSP/KLRSP/L1Gelephu Town75800.7175.82Sarpang76193.0776.193Dagapela77695.8277.74Tsirang77242.9377.245Zhemgang80385.1180.396Trongsa79355.9579.367Bumthang79926.9579.938Dagana78238.9878.249Lhamoizingkha80311.0780.3110Dangdung79364.3579.3611Panbang77353.2477.3512Tingtibi77622.3777.62",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,75800.71,75.8
2,Sarpang,76193.07,76.19
3,Dagapela,77695.82,77.7
4,Tsirang,77242.93,77.24
5,Zhemgang,80385.11,80.39
6,Trongsa,79355.95,79.36
7,Bumthang,79926.95,79.93
8,Dagana,78238.98,78.24
9,Lhamoizingkha,80311.07,80.31
10,Dangdung,79364.35,79.36
11,Panbang,77353.24,77.35
12,Tingtibi,77622.37,77.62
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-10-16#StationRSP/KLRSP/L1Gelephu Town75800.7175.82Sarpang76193.0776.193Dagapela77695.8277.74Tsirang77242.9377.245Zhemgang80385.1180.396Trongsa79355.9579.367Bumthang79926.9579.938Dagana78238.9878.249Lhamoizingkha80311.0780.3110Dangdung79364.3579.3611Panbang77353.2477.3512Tingtibi77622.3777.62",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,75800.71,75.8
2,Sarpang,76193.07,76.19
3,Dagapela,77695.82,77.7
4,Tsirang,77242.93,77.24
5,Zhemgang,80385.11,80.39
6,Trongsa,79355.95,79.36
7,Bumthang,79926.95,79.93
8,Dagana,78238.98,78.24
9,Lhamoizingkha,80311.07,80.31
10,Dangdung,79364.35,79.36
11,Panbang,77353.24,77.35
12,Tingtibi,77622.37,77.62
