"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-10-01#StationRSP/KLRSP/L1Phuentsholing73077.5473.082Rinchending7315873.163Pasakha73211.6473.214Chimakothi74563.5874.565Lungtenzampa75021.8975.026Paro Town75020.8375.027Haa75774.0475.778Bajo Town75246.7375.259Beychu75470.2375.4710Samtse Town72624.372.6211Sipsoo74233.9674.2312Gomtu72683.7672.6813Gedu74154.9474.1514Khuruthang75223.0575.2215Gasa76554.8176.5516Motithang75021.8975.0217Olakha75021.8975.0218Paro NIE Bridge75020.8375.0219Langlitsawa75470.2375.4720Wangdue Zero Point75246.7375.2521Phuentsholing Main gate73077.5473.08",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,73077.54,73.08
2,Rinchending,73158,73.16
3,Pasakha,73211.64,73.21
4,Chimakothi,74563.58,74.56
5,Lungtenzampa,75021.89,75.02
6,Paro Town,75020.83,75.02
7,Haa,75774.04,75.77
8,Bajo Town,75246.73,75.25
9,Beychu,75470.23,75.47
10,Samtse Town,72624.3,72.62
11,Sipsoo,74233.96,74.23
12,Gomtu,72683.76,72.68
13,Gedu,74154.94,74.15
14,Khuruthang,75223.05,75.22
15,Gasa,76554.81,76.55
16,Motithang,75021.89,75.02
17,Olakha,75021.89,75.02
18,Paro NIE Bridge,75020.83,75.02
19,Langlitsawa,75470.23,75.47
20,Wangdue Zero Point,75246.73,75.25
21,Phuentsholing Main gate,73077.54,73.08
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-10-01#StationRSP/KLRSP/L1Phuentsholing73077.5473.082Rinchending7315873.163Pasakha73211.6473.214Chimakothi74563.5874.565Lungtenzampa75021.8975.026Paro Town75020.8375.027Haa75774.0475.778Bajo Town75246.7375.259Beychu75470.2375.4710Samtse Town72624.372.6211Sipsoo74233.9674.2312Gomtu72683.7672.6813Gedu74154.9474.1514Khuruthang75223.0575.2215Gasa76554.8176.5516Motithang75021.8975.0217Olakha75021.8975.0218Paro NIE Bridge75020.8375.0219Langlitsawa75470.2375.4720Wangdue Zero Point75246.7375.2521Phuentsholing Main gate73077.5473.08",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,73077.54,73.08
2,Rinchending,73158,73.16
3,Pasakha,73211.64,73.21
4,Chimakothi,74563.58,74.56
5,Lungtenzampa,75021.89,75.02
6,Paro Town,75020.83,75.02
7,Haa,75774.04,75.77
8,Bajo Town,75246.73,75.25
9,Beychu,75470.23,75.47
10,Samtse Town,72624.3,72.62
11,Sipsoo,74233.96,74.23
12,Gomtu,72683.76,72.68
13,Gedu,74154.94,74.15
14,Khuruthang,75223.05,75.22
15,Gasa,76554.81,76.55
16,Motithang,75021.89,75.02
17,Olakha,75021.89,75.02
18,Paro NIE Bridge,75020.83,75.02
19,Langlitsawa,75470.23,75.47
20,Wangdue Zero Point,75246.73,75.25
21,Phuentsholing Main gate,73077.54,73.08
