"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Samdrup Jongkhar70472.2370.472Wamrong72077.272.083Trashigang72204.5572.24Trashiyangtse73243.0673.245Mongar73350.6873.356Gyelposing73226.2173.237Kanglung72508.0472.518Pemagatshel71905.7371.919Lhuntse73832.2373.8310Jomotsangkha71308.9571.3111Autsho73452.4973.4512Doksum7250572.513Bhangtar71080.1571.0814Rangjung72525.8272.53",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,70472.23,70.47
2,Wamrong,72077.2,72.08
3,Trashigang,72204.55,72.2
4,Trashiyangtse,73243.06,73.24
5,Mongar,73350.68,73.35
6,Gyelposing,73226.21,73.23
7,Kanglung,72508.04,72.51
8,Pemagatshel,71905.73,71.91
9,Lhuntse,73832.23,73.83
10,Jomotsangkha,71308.95,71.31
11,Autsho,73452.49,73.45
12,Doksum,72505,72.5
13,Bhangtar,71080.15,71.08
14,Rangjung,72525.82,72.53
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Samdrup Jongkhar70472.2370.472Wamrong72077.272.083Trashigang72204.5572.24Trashiyangtse73243.0673.245Mongar73350.6873.356Gyelposing73226.2173.237Kanglung72508.0472.518Pemagatshel71905.7371.919Lhuntse73832.2373.8310Jomotsangkha71308.9571.3111Autsho73452.4973.4512Doksum7250572.513Bhangtar71080.1571.0814Rangjung72525.8272.53",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,70472.23,70.47
2,Wamrong,72077.2,72.08
3,Trashigang,72204.55,72.2
4,Trashiyangtse,73243.06,73.24
5,Mongar,73350.68,73.35
6,Gyelposing,73226.21,73.23
7,Kanglung,72508.04,72.51
8,Pemagatshel,71905.73,71.91
9,Lhuntse,73832.23,73.83
10,Jomotsangkha,71308.95,71.31
11,Autsho,73452.49,73.45
12,Doksum,72505,72.5
13,Bhangtar,71080.15,71.08
14,Rangjung,72525.82,72.53
