"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Lobesa72248.1172.252Phuentsholing70180.3170.183Rinchending70260.7770.264Pasakha70314.4170.315Chimakothi71640.9671.646Chubachu72100.9672.17Paro Shaba72097.8172.18Haa72841.6672.849Wangdue Zero Point72337.5172.3410Beychu72561.0172.5611Samtse Checkpost69726.6569.7312Sipsoo71333.8971.3313Pagli69786.2369.7914Gedu71231.8671.2315Mitsina72248.1172.2516Khuruthang72314.4172.3117Gasa73624.4473.6218Dorokha71009.1571.0119Langdru (Khasadrapchu)71948.9871.9520Chanzamtok72100.9672.121Gomtu Phuentshopelri69786.2369.7922Motithang72100.9672.123Lungtenzampa72100.9672.124Olakha72100.9672.125Samtse Town69726.6569.7326Langlitsawa72561.0172.5627Gomtu69786.2369.7928Phuentsholing Truck Parking70180.3170.1829Phuentsholing Dungkhag Office70180.3170.1830Phuentsholing Near MDP70180.3170.18",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,72248.11,72.25
2,Phuentsholing,70180.31,70.18
3,Rinchending,70260.77,70.26
4,Pasakha,70314.41,70.31
5,Chimakothi,71640.96,71.64
6,Chubachu,72100.96,72.1
7,Paro Shaba,72097.81,72.1
8,Haa,72841.66,72.84
9,Wangdue Zero Point,72337.51,72.34
10,Beychu,72561.01,72.56
11,Samtse Checkpost,69726.65,69.73
12,Sipsoo,71333.89,71.33
13,Pagli,69786.23,69.79
14,Gedu,71231.86,71.23
15,Mitsina,72248.11,72.25
16,Khuruthang,72314.41,72.31
17,Gasa,73624.44,73.62
18,Dorokha,71009.15,71.01
19,Langdru (Khasadrapchu),71948.98,71.95
20,Chanzamtok,72100.96,72.1
21,Gomtu Phuentshopelri,69786.23,69.79
22,Motithang,72100.96,72.1
23,Lungtenzampa,72100.96,72.1
24,Olakha,72100.96,72.1
25,Samtse Town,69726.65,69.73
26,Langlitsawa,72561.01,72.56
27,Gomtu,69786.23,69.79
28,Phuentsholing Truck Parking,70180.31,70.18
29,Phuentsholing Dungkhag Office,70180.31,70.18
30,Phuentsholing Near MDP,70180.31,70.18
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Lobesa72248.1172.252Phuentsholing70180.3170.183Rinchending70260.7770.264Pasakha70314.4170.315Chimakothi71640.9671.646Chubachu72100.9672.17Paro Shaba72097.8172.18Haa72841.6672.849Wangdue Zero Point72337.5172.3410Beychu72561.0172.5611Samtse Checkpost69726.6569.7312Sipsoo71333.8971.3313Pagli69786.2369.7914Gedu71231.8671.2315Mitsina72248.1172.2516Khuruthang72314.4172.3117Gasa73624.4473.6218Dorokha71009.1571.0119Langdru (Khasadrapchu)71948.9871.9520Chanzamtok72100.9672.121Gomtu Phuentshopelri69786.2369.7922Motithang72100.9672.123Lungtenzampa72100.9672.124Olakha72100.9672.125Samtse Town69726.6569.7326Langlitsawa72561.0172.5627Gomtu69786.2369.7928Phuentsholing Truck Parking70180.3170.1829Phuentsholing Dungkhag Office70180.3170.1830Phuentsholing Near MDP70180.3170.18",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,72248.11,72.25
2,Phuentsholing,70180.31,70.18
3,Rinchending,70260.77,70.26
4,Pasakha,70314.41,70.31
5,Chimakothi,71640.96,71.64
6,Chubachu,72100.96,72.1
7,Paro Shaba,72097.81,72.1
8,Haa,72841.66,72.84
9,Wangdue Zero Point,72337.51,72.34
10,Beychu,72561.01,72.56
11,Samtse Checkpost,69726.65,69.73
12,Sipsoo,71333.89,71.33
13,Pagli,69786.23,69.79
14,Gedu,71231.86,71.23
15,Mitsina,72248.11,72.25
16,Khuruthang,72314.41,72.31
17,Gasa,73624.44,73.62
18,Dorokha,71009.15,71.01
19,Langdru (Khasadrapchu),71948.98,71.95
20,Chanzamtok,72100.96,72.1
21,Gomtu Phuentshopelri,69786.23,69.79
22,Motithang,72100.96,72.1
23,Lungtenzampa,72100.96,72.1
24,Olakha,72100.96,72.1
25,Samtse Town,69726.65,69.73
26,Langlitsawa,72561.01,72.56
27,Gomtu,69786.23,69.79
28,Phuentsholing Truck Parking,70180.31,70.18
29,Phuentsholing Dungkhag Office,70180.31,70.18
30,Phuentsholing Near MDP,70180.31,70.18
