"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Phuentsholing92794.4592.792Rinchending92874.9192.873Pasakha92928.5592.934Chimakothi94765.9494.775Lungtenzampa95191.9995.196Paro Town95231.0295.237Haa96163.1696.168Bajo Town95192.9395.199Beychu95505.8395.5110Samtse Town92297.3792.311Sipsoo94028.4594.0312Gomtu92355.8592.3613Gedu94366.194.3714Khuruthang95157.9995.1615Gasa96905.396.9116Motithang95191.9995.1917Olakha95191.9995.1918Paro NIE Bridge95231.0295.2319Langlitsawa95461.1395.4620Wangdue Zero Point95192.9395.1921Phuentsholing Main gate92794.4592.79",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,92794.45,92.79
2,Rinchending,92874.91,92.87
3,Pasakha,92928.55,92.93
4,Chimakothi,94765.94,94.77
5,Lungtenzampa,95191.99,95.19
6,Paro Town,95231.02,95.23
7,Haa,96163.16,96.16
8,Bajo Town,95192.93,95.19
9,Beychu,95505.83,95.51
10,Samtse Town,92297.37,92.3
11,Sipsoo,94028.45,94.03
12,Gomtu,92355.85,92.36
13,Gedu,94366.1,94.37
14,Khuruthang,95157.99,95.16
15,Gasa,96905.3,96.91
16,Motithang,95191.99,95.19
17,Olakha,95191.99,95.19
18,Paro NIE Bridge,95231.02,95.23
19,Langlitsawa,95461.13,95.46
20,Wangdue Zero Point,95192.93,95.19
21,Phuentsholing Main gate,92794.45,92.79
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Phuentsholing92794.4592.792Rinchending92874.9192.873Pasakha92928.5592.934Chimakothi94765.9494.775Lungtenzampa95191.9995.196Paro Town95231.0295.237Haa96163.1696.168Bajo Town95192.9395.199Beychu95505.8395.5110Samtse Town92297.3792.311Sipsoo94028.4594.0312Gomtu92355.8592.3613Gedu94366.194.3714Khuruthang95157.9995.1615Gasa96905.396.9116Motithang95191.9995.1917Olakha95191.9995.1918Paro NIE Bridge95231.0295.2319Langlitsawa95461.1395.4620Wangdue Zero Point95192.9395.1921Phuentsholing Main gate92794.4592.79",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,92794.45,92.79
2,Rinchending,92874.91,92.87
3,Pasakha,92928.55,92.93
4,Chimakothi,94765.94,94.77
5,Lungtenzampa,95191.99,95.19
6,Paro Town,95231.02,95.23
7,Haa,96163.16,96.16
8,Bajo Town,95192.93,95.19
9,Beychu,95505.83,95.51
10,Samtse Town,92297.37,92.3
11,Sipsoo,94028.45,94.03
12,Gomtu,92355.85,92.36
13,Gedu,94366.1,94.37
14,Khuruthang,95157.99,95.16
15,Gasa,96905.3,96.91
16,Motithang,95191.99,95.19
17,Olakha,95191.99,95.19
18,Paro NIE Bridge,95231.02,95.23
19,Langlitsawa,95461.13,95.46
20,Wangdue Zero Point,95192.93,95.19
21,Phuentsholing Main gate,92794.45,92.79
