"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Nganglam70081.9970.082Samdrup Jongkhar Gate70472.2370.473Nganglam Potonala70081.9970.084Wamrong72077.272.085Trashigang72204.5572.26Trashiyangtse73243.0673.247Mongar73350.6873.358Gyelposing73226.2173.239Kanglung72508.0472.5110Pemagatshel71905.7371.9111Lhuntse73832.2373.8312Jomotsangkha70472.2370.4713Autsho73452.4973.4514Doksum7250572.515Bhangtar71080.1571.0816Rangjung72525.8272.5317Samdrup Jongkhar Upper Town70472.2370.47",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,70081.99,70.08
2,Samdrup Jongkhar Gate,70472.23,70.47
3,Nganglam Potonala,70081.99,70.08
4,Wamrong,72077.2,72.08
5,Trashigang,72204.55,72.2
6,Trashiyangtse,73243.06,73.24
7,Mongar,73350.68,73.35
8,Gyelposing,73226.21,73.23
9,Kanglung,72508.04,72.51
10,Pemagatshel,71905.73,71.91
11,Lhuntse,73832.23,73.83
12,Jomotsangkha,70472.23,70.47
13,Autsho,73452.49,73.45
14,Doksum,72505,72.5
15,Bhangtar,71080.15,71.08
16,Rangjung,72525.82,72.53
17,Samdrup Jongkhar Upper Town,70472.23,70.47
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-09-16#StationRSP/KLRSP/L1Nganglam70081.9970.082Samdrup Jongkhar Gate70472.2370.473Nganglam Potonala70081.9970.084Wamrong72077.272.085Trashigang72204.5572.26Trashiyangtse73243.0673.247Mongar73350.6873.358Gyelposing73226.2173.239Kanglung72508.0472.5110Pemagatshel71905.7371.9111Lhuntse73832.2373.8312Jomotsangkha70472.2370.4713Autsho73452.4973.4514Doksum7250572.515Bhangtar71080.1571.0816Rangjung72525.8272.5317Samdrup Jongkhar Upper Town70472.2370.47",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,70081.99,70.08
2,Samdrup Jongkhar Gate,70472.23,70.47
3,Nganglam Potonala,70081.99,70.08
4,Wamrong,72077.2,72.08
5,Trashigang,72204.55,72.2
6,Trashiyangtse,73243.06,73.24
7,Mongar,73350.68,73.35
8,Gyelposing,73226.21,73.23
9,Kanglung,72508.04,72.51
10,Pemagatshel,71905.73,71.91
11,Lhuntse,73832.23,73.83
12,Jomotsangkha,70472.23,70.47
13,Autsho,73452.49,73.45
14,Doksum,72505,72.5
15,Bhangtar,71080.15,71.08
16,Rangjung,72525.82,72.53
17,Samdrup Jongkhar Upper Town,70472.23,70.47
