"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-09-01#StationRSP/KLRSP/L1Lobesa75028.9775.032Phuentsholing72855.4872.863Rinchending72935.9472.944Pasakha72989.5872.995Chimakothi74582.9674.586Chubachu75025.2375.037Paro Shaba75044.1175.048Haa75886.3175.899Wangdue Zero Point75138.7175.1410Beychu75362.2175.3611Samtse Checkpost72400.7172.412Sipsoo74038.8974.0413Pagli72460.4272.4614Gedu74178.774.1815Mitsina75049.3175.0516Khuruthang75109.4375.1117Gasa76647.8676.6518Dorokha73811.9673.8119Langdru (Khasadrapchu)74873.2574.8720Chanzamtok75025.2375.0321Gomtu Phuentshopelri72460.4272.4622Motithang75025.2375.0323Lungtenzampa75025.2375.0324Olakha75025.2375.0325Samtse Town72400.7172.426Langlitsawa75362.2175.3627Gomtu72460.4272.4628Phuentsholing Truck Parking72855.4872.8629Phuentsholing Dungkhag Office72855.4872.8630Phuentsholing Near MDP72855.4872.86",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,75028.97,75.03
2,Phuentsholing,72855.48,72.86
3,Rinchending,72935.94,72.94
4,Pasakha,72989.58,72.99
5,Chimakothi,74582.96,74.58
6,Chubachu,75025.23,75.03
7,Paro Shaba,75044.11,75.04
8,Haa,75886.31,75.89
9,Wangdue Zero Point,75138.71,75.14
10,Beychu,75362.21,75.36
11,Samtse Checkpost,72400.71,72.4
12,Sipsoo,74038.89,74.04
13,Pagli,72460.42,72.46
14,Gedu,74178.7,74.18
15,Mitsina,75049.31,75.05
16,Khuruthang,75109.43,75.11
17,Gasa,76647.86,76.65
18,Dorokha,73811.96,73.81
19,Langdru (Khasadrapchu),74873.25,74.87
20,Chanzamtok,75025.23,75.03
21,Gomtu Phuentshopelri,72460.42,72.46
22,Motithang,75025.23,75.03
23,Lungtenzampa,75025.23,75.03
24,Olakha,75025.23,75.03
25,Samtse Town,72400.71,72.4
26,Langlitsawa,75362.21,75.36
27,Gomtu,72460.42,72.46
28,Phuentsholing Truck Parking,72855.48,72.86
29,Phuentsholing Dungkhag Office,72855.48,72.86
30,Phuentsholing Near MDP,72855.48,72.86
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-09-01#StationRSP/KLRSP/L1Lobesa75028.9775.032Phuentsholing72855.4872.863Rinchending72935.9472.944Pasakha72989.5872.995Chimakothi74582.9674.586Chubachu75025.2375.037Paro Shaba75044.1175.048Haa75886.3175.899Wangdue Zero Point75138.7175.1410Beychu75362.2175.3611Samtse Checkpost72400.7172.412Sipsoo74038.8974.0413Pagli72460.4272.4614Gedu74178.774.1815Mitsina75049.3175.0516Khuruthang75109.4375.1117Gasa76647.8676.6518Dorokha73811.9673.8119Langdru (Khasadrapchu)74873.2574.8720Chanzamtok75025.2375.0321Gomtu Phuentshopelri72460.4272.4622Motithang75025.2375.0323Lungtenzampa75025.2375.0324Olakha75025.2375.0325Samtse Town72400.7172.426Langlitsawa75362.2175.3627Gomtu72460.4272.4628Phuentsholing Truck Parking72855.4872.8629Phuentsholing Dungkhag Office72855.4872.8630Phuentsholing Near MDP72855.4872.86",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,75028.97,75.03
2,Phuentsholing,72855.48,72.86
3,Rinchending,72935.94,72.94
4,Pasakha,72989.58,72.99
5,Chimakothi,74582.96,74.58
6,Chubachu,75025.23,75.03
7,Paro Shaba,75044.11,75.04
8,Haa,75886.31,75.89
9,Wangdue Zero Point,75138.71,75.14
10,Beychu,75362.21,75.36
11,Samtse Checkpost,72400.71,72.4
12,Sipsoo,74038.89,74.04
13,Pagli,72460.42,72.46
14,Gedu,74178.7,74.18
15,Mitsina,75049.31,75.05
16,Khuruthang,75109.43,75.11
17,Gasa,76647.86,76.65
18,Dorokha,73811.96,73.81
19,Langdru (Khasadrapchu),74873.25,74.87
20,Chanzamtok,75025.23,75.03
21,Gomtu Phuentshopelri,72460.42,72.46
22,Motithang,75025.23,75.03
23,Lungtenzampa,75025.23,75.03
24,Olakha,75025.23,75.03
25,Samtse Town,72400.71,72.4
26,Langlitsawa,75362.21,75.36
27,Gomtu,72460.42,72.46
28,Phuentsholing Truck Parking,72855.48,72.86
29,Phuentsholing Dungkhag Office,72855.48,72.86
30,Phuentsholing Near MDP,72855.48,72.86
