"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-09-01#StationRSP/KLRSP/L1Phuentsholing72834.3472.832Rinchending72914.872.913Pasakha72968.4472.974Chimakothi74561.5674.565Lungtenzampa75003.85756Paro Town75022.7175.027Haa75864.8175.868Bajo Town75117.4575.129Beychu75340.9575.3410Samtse Town72379.9972.3811Sipsoo74017.7274.0212Gomtu72439.5972.4413Gedu74157.2974.1614Khuruthang75088.1775.0915Gasa76626.3976.6316Motithang75003.857517Olakha75003.857518Paro NIE Bridge75022.7175.0219Langlitsawa75340.9575.3420Wangdue Zero Point75117.4575.1221Phuentsholing Main gate72834.3472.83",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,72834.34,72.83
2,Rinchending,72914.8,72.91
3,Pasakha,72968.44,72.97
4,Chimakothi,74561.56,74.56
5,Lungtenzampa,75003.85,75
6,Paro Town,75022.71,75.02
7,Haa,75864.81,75.86
8,Bajo Town,75117.45,75.12
9,Beychu,75340.95,75.34
10,Samtse Town,72379.99,72.38
11,Sipsoo,74017.72,74.02
12,Gomtu,72439.59,72.44
13,Gedu,74157.29,74.16
14,Khuruthang,75088.17,75.09
15,Gasa,76626.39,76.63
16,Motithang,75003.85,75
17,Olakha,75003.85,75
18,Paro NIE Bridge,75022.71,75.02
19,Langlitsawa,75340.95,75.34
20,Wangdue Zero Point,75117.45,75.12
21,Phuentsholing Main gate,72834.34,72.83
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-09-01#StationRSP/KLRSP/L1Phuentsholing72834.3472.832Rinchending72914.872.913Pasakha72968.4472.974Chimakothi74561.5674.565Lungtenzampa75003.85756Paro Town75022.7175.027Haa75864.8175.868Bajo Town75117.4575.129Beychu75340.9575.3410Samtse Town72379.9972.3811Sipsoo74017.7274.0212Gomtu72439.5972.4413Gedu74157.2974.1614Khuruthang75088.1775.0915Gasa76626.3976.6316Motithang75003.857517Olakha75003.857518Paro NIE Bridge75022.7175.0219Langlitsawa75340.9575.3420Wangdue Zero Point75117.4575.1221Phuentsholing Main gate72834.3472.83",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,72834.34,72.83
2,Rinchending,72914.8,72.91
3,Pasakha,72968.44,72.97
4,Chimakothi,74561.56,74.56
5,Lungtenzampa,75003.85,75
6,Paro Town,75022.71,75.02
7,Haa,75864.81,75.86
8,Bajo Town,75117.45,75.12
9,Beychu,75340.95,75.34
10,Samtse Town,72379.99,72.38
11,Sipsoo,74017.72,74.02
12,Gomtu,72439.59,72.44
13,Gedu,74157.29,74.16
14,Khuruthang,75088.17,75.09
15,Gasa,76626.39,76.63
16,Motithang,75003.85,75
17,Olakha,75003.85,75
18,Paro NIE Bridge,75022.71,75.02
19,Langlitsawa,75340.95,75.34
20,Wangdue Zero Point,75117.45,75.12
21,Phuentsholing Main gate,72834.34,72.83
