"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-08-16#StationRSP/KLRSP/L1Phuentsholing74472.574.472Rinchending74543.674.543Pasakha74606.674.614Chimakothi76219.7776.225Lungtenzampa76503.6876.56Paro Town76681.2476.687Haa77530.7377.538Bajo Town76765.0876.779Beychu76988.5876.9910Samtse Town74018.1574.0211Sipsoo75658.1275.6612Gomtu74077.7574.0813Gedu75815.8775.8214Lobesa76654.8876.6515Khuruthang76735.3476.7416Gasa78290.7178.29",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,74472.5,74.47
2,Rinchending,74543.6,74.54
3,Pasakha,74606.6,74.61
4,Chimakothi,76219.77,76.22
5,Lungtenzampa,76503.68,76.5
6,Paro Town,76681.24,76.68
7,Haa,77530.73,77.53
8,Bajo Town,76765.08,76.77
9,Beychu,76988.58,76.99
10,Samtse Town,74018.15,74.02
11,Sipsoo,75658.12,75.66
12,Gomtu,74077.75,74.08
13,Gedu,75815.87,75.82
14,Lobesa,76654.88,76.65
15,Khuruthang,76735.34,76.74
16,Gasa,78290.71,78.29
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-08-16#StationRSP/KLRSP/L1Phuentsholing74472.574.472Rinchending74543.674.543Pasakha74606.674.614Chimakothi76219.7776.225Lungtenzampa76503.6876.56Paro Town76681.2476.687Haa77530.7377.538Bajo Town76765.0876.779Beychu76988.5876.9910Samtse Town74018.1574.0211Sipsoo75658.1275.6612Gomtu74077.7574.0813Gedu75815.8775.8214Lobesa76654.8876.6515Khuruthang76735.3476.7416Gasa78290.7178.29",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,74472.5,74.47
2,Rinchending,74543.6,74.54
3,Pasakha,74606.6,74.61
4,Chimakothi,76219.77,76.22
5,Lungtenzampa,76503.68,76.5
6,Paro Town,76681.24,76.68
7,Haa,77530.73,77.53
8,Bajo Town,76765.08,76.77
9,Beychu,76988.58,76.99
10,Samtse Town,74018.15,74.02
11,Sipsoo,75658.12,75.66
12,Gomtu,74077.75,74.08
13,Gedu,75815.87,75.82
14,Lobesa,76654.88,76.65
15,Khuruthang,76735.34,76.74
16,Gasa,78290.71,78.29
