"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-08-16#StationRSP/KLRSP/L1Ramtokto7196171.962Rinchending50166.0646.363Pasakha50219.746.414Chimakothi51314.747.515Chubachu51790.147.986Paro Shaba51767.8247.967Haa52426.3348.628Wangdue Zero Point52133.4448.329Beychu52356.9448.5510Samtse Checkpost49848.646.0411Sipsoo51213.347.412Pagli49880.246.0713Gedu50901.4147.0914Mitsina52044.0448.2415Khuruthang52115.7148.3116Gasa53227.5449.4217Dorokha50440.2846.6318Langdru (Khasadrapchu)51274.7247.4719null00",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,71961,71.96
2,Rinchending,50166.06,46.36
3,Pasakha,50219.7,46.41
4,Chimakothi,51314.7,47.51
5,Chubachu,51790.1,47.98
6,Paro Shaba,51767.82,47.96
7,Haa,52426.33,48.62
8,Wangdue Zero Point,52133.44,48.32
9,Beychu,52356.94,48.55
10,Samtse Checkpost,49848.6,46.04
11,Sipsoo,51213.3,47.4
12,Pagli,49880.2,46.07
13,Gedu,50901.41,47.09
14,Mitsina,52044.04,48.24
15,Khuruthang,52115.71,48.31
16,Gasa,53227.54,49.42
17,Dorokha,50440.28,46.63
18,Langdru (Khasadrapchu),51274.72,47.47
19,null,0,0
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-08-16#StationRSP/KLRSP/L1Ramtokto7196171.962Rinchending50166.0646.363Pasakha50219.746.414Chimakothi51314.747.515Chubachu51790.147.986Paro Shaba51767.8247.967Haa52426.3348.628Wangdue Zero Point52133.4448.329Beychu52356.9448.5510Samtse Checkpost49848.646.0411Sipsoo51213.347.412Pagli49880.246.0713Gedu50901.4147.0914Mitsina52044.0448.2415Khuruthang52115.7148.3116Gasa53227.5449.4217Dorokha50440.2846.6318Langdru (Khasadrapchu)51274.7247.4719null00",,,
"#",Station,RSP/KL,RSP/L
1,Ramtokto,71961,71.96
2,Rinchending,50166.06,46.36
3,Pasakha,50219.7,46.41
4,Chimakothi,51314.7,47.51
5,Chubachu,51790.1,47.98
6,Paro Shaba,51767.82,47.96
7,Haa,52426.33,48.62
8,Wangdue Zero Point,52133.44,48.32
9,Beychu,52356.94,48.55
10,Samtse Checkpost,49848.6,46.04
11,Sipsoo,51213.3,47.4
12,Pagli,49880.2,46.07
13,Gedu,50901.41,47.09
14,Mitsina,52044.04,48.24
15,Khuruthang,52115.71,48.31
16,Gasa,53227.54,49.42
17,Dorokha,50440.28,46.63
18,Langdru (Khasadrapchu),51274.72,47.47
19,null,0,0
