"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-08-01#StationRSP/KLRSP/L1Phuentsholing74458.0674.462Rinchending74538.5274.543Pasakha74592.1674.594Chimakothi76205.1576.215Chubachu76646.1276.656Paro Shaba76666.6276.677Haa77516.0577.528Wangdue Zero Point76750.5576.759Beychu76974.0576.9710Samtse Checkpost74003.37411Sipsoo75643.6675.6412Pagli7406374.0613Gedu75801.2575.814Mitsina76661.1576.6615Khuruthang76720.8276.7216Gasa78276.0478.2817Dorokha75423.9275.4218Langdru (Khasadrapchu)76494.1476.49",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,74458.06,74.46
2,Rinchending,74538.52,74.54
3,Pasakha,74592.16,74.59
4,Chimakothi,76205.15,76.21
5,Chubachu,76646.12,76.65
6,Paro Shaba,76666.62,76.67
7,Haa,77516.05,77.52
8,Wangdue Zero Point,76750.55,76.75
9,Beychu,76974.05,76.97
10,Samtse Checkpost,74003.3,74
11,Sipsoo,75643.66,75.64
12,Pagli,74063,74.06
13,Gedu,75801.25,75.8
14,Mitsina,76661.15,76.66
15,Khuruthang,76720.82,76.72
16,Gasa,78276.04,78.28
17,Dorokha,75423.92,75.42
18,Langdru (Khasadrapchu),76494.14,76.49
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-08-01#StationRSP/KLRSP/L1Phuentsholing74458.0674.462Rinchending74538.5274.543Pasakha74592.1674.594Chimakothi76205.1576.215Chubachu76646.1276.656Paro Shaba76666.6276.677Haa77516.0577.528Wangdue Zero Point76750.5576.759Beychu76974.0576.9710Samtse Checkpost74003.37411Sipsoo75643.6675.6412Pagli7406374.0613Gedu75801.2575.814Mitsina76661.1576.6615Khuruthang76720.8276.7216Gasa78276.0478.2817Dorokha75423.9275.4218Langdru (Khasadrapchu)76494.1476.49",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,74458.06,74.46
2,Rinchending,74538.52,74.54
3,Pasakha,74592.16,74.59
4,Chimakothi,76205.15,76.21
5,Chubachu,76646.12,76.65
6,Paro Shaba,76666.62,76.67
7,Haa,77516.05,77.52
8,Wangdue Zero Point,76750.55,76.75
9,Beychu,76974.05,76.97
10,Samtse Checkpost,74003.3,74
11,Sipsoo,75643.66,75.64
12,Pagli,74063,74.06
13,Gedu,75801.25,75.8
14,Mitsina,76661.15,76.66
15,Khuruthang,76720.82,76.72
16,Gasa,78276.04,78.28
17,Dorokha,75423.92,75.42
18,Langdru (Khasadrapchu),76494.14,76.49
