"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-08-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost70937.4770.942Sarpang71321.2571.323Dagapela72796.0272.84Tsirang72338.2872.345Zhemgang73061.1473.066Trongsa74019.0574.027Bumthang74993.6574.998Dagana73330.0173.339Lhamoizingkha71947.3671.9510Dangdung74479.8974.4811Panbang7249072.4912Tingtibi72171.2372.17",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,70937.47,70.94
2,Sarpang,71321.25,71.32
3,Dagapela,72796.02,72.8
4,Tsirang,72338.28,72.34
5,Zhemgang,73061.14,73.06
6,Trongsa,74019.05,74.02
7,Bumthang,74993.65,74.99
8,Dagana,73330.01,73.33
9,Lhamoizingkha,71947.36,71.95
10,Dangdung,74479.89,74.48
11,Panbang,72490,72.49
12,Tingtibi,72171.23,72.17
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-08-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost70937.4770.942Sarpang71321.2571.323Dagapela72796.0272.84Tsirang72338.2872.345Zhemgang73061.1473.066Trongsa74019.0574.027Bumthang74993.6574.998Dagana73330.0173.339Lhamoizingkha71947.3671.9510Dangdung74479.8974.4811Panbang7249072.4912Tingtibi72171.2372.17",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,70937.47,70.94
2,Sarpang,71321.25,71.32
3,Dagapela,72796.02,72.8
4,Tsirang,72338.28,72.34
5,Zhemgang,73061.14,73.06
6,Trongsa,74019.05,74.02
7,Bumthang,74993.65,74.99
8,Dagana,73330.01,73.33
9,Lhamoizingkha,71947.36,71.95
10,Dangdung,74479.89,74.48
11,Panbang,72490,72.49
12,Tingtibi,72171.23,72.17
