"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost69331.4569.332Sarpang69679.1269.683Dagapela71035.9371.044Tsirang70557.7370.565Zhemgang71257.3671.266Trongsa72225.3872.237Bumthang73092.3873.098Dagana71531.2871.539Lhamoizingkha72540.1372.5410Dangdung72784.4672.7811Panbang70883.9870.8812Tingtibi70517.9870.52",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,69331.45,69.33
2,Sarpang,69679.12,69.68
3,Dagapela,71035.93,71.04
4,Tsirang,70557.73,70.56
5,Zhemgang,71257.36,71.26
6,Trongsa,72225.38,72.23
7,Bumthang,73092.38,73.09
8,Dagana,71531.28,71.53
9,Lhamoizingkha,72540.13,72.54
10,Dangdung,72784.46,72.78
11,Panbang,70883.98,70.88
12,Tingtibi,70517.98,70.52
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-16#StationRSP/KLRSP/L1Gelephu Forest Checkpost69331.4569.332Sarpang69679.1269.683Dagapela71035.9371.044Tsirang70557.7370.565Zhemgang71257.3671.266Trongsa72225.3872.237Bumthang73092.3873.098Dagana71531.2871.539Lhamoizingkha72540.1372.5410Dangdung72784.4672.7811Panbang70883.9870.8812Tingtibi70517.9870.52",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,69331.45,69.33
2,Sarpang,69679.12,69.68
3,Dagapela,71035.93,71.04
4,Tsirang,70557.73,70.56
5,Zhemgang,71257.36,71.26
6,Trongsa,72225.38,72.23
7,Bumthang,73092.38,73.09
8,Dagana,71531.28,71.53
9,Lhamoizingkha,72540.13,72.54
10,Dangdung,72784.46,72.78
11,Panbang,70883.98,70.88
12,Tingtibi,70517.98,70.52
