"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost68446.2268.452Sarpang68792.7768.793Dagapela70145.9470.154Tsirang69667.169.675Zhemgang70366.0270.376Trongsa71334.3471.337Bumthang72198.0172.28Dagana70640.0970.649Lhamoizingkha69453.569.4510Dangdung71896.4771.911Panbang69998.757012Tingtibi69631.2969.63",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,68446.22,68.45
2,Sarpang,68792.77,68.79
3,Dagapela,70145.94,70.15
4,Tsirang,69667.1,69.67
5,Zhemgang,70366.02,70.37
6,Trongsa,71334.34,71.33
7,Bumthang,72198.01,72.2
8,Dagana,70640.09,70.64
9,Lhamoizingkha,69453.5,69.45
10,Dangdung,71896.47,71.9
11,Panbang,69998.75,70
12,Tingtibi,69631.29,69.63
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost68446.2268.452Sarpang68792.7768.793Dagapela70145.9470.154Tsirang69667.169.675Zhemgang70366.0270.376Trongsa71334.3471.337Bumthang72198.0172.28Dagana70640.0970.649Lhamoizingkha69453.569.4510Dangdung71896.4771.911Panbang69998.757012Tingtibi69631.2969.63",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,68446.22,68.45
2,Sarpang,68792.77,68.79
3,Dagapela,70145.94,70.15
4,Tsirang,69667.1,69.67
5,Zhemgang,70366.02,70.37
6,Trongsa,71334.34,71.33
7,Bumthang,72198.01,72.2
8,Dagana,70640.09,70.64
9,Lhamoizingkha,69453.5,69.45
10,Dangdung,71896.47,71.9
11,Panbang,69998.75,70
12,Tingtibi,69631.29,69.63
