"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Samdrup Jongkhar69041.9369.042Nganglam69041.9369.043Wamrong70436.9170.444Trashigang70738.3470.745Trashiyangtse71614.7571.616Mongar71787.4671.797Gyelposing71793.1771.798Kanglung70895.9470.99Pemagatshel70318.0770.3210Lhuntse72324.1272.3211Jomotsangkha68604.3968.612Autsho71974.3171.9713Doksum71016.3471.0214Bhangtar69649.8569.6515Rangjung71010.2371.01",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,69041.93,69.04
2,Nganglam,69041.93,69.04
3,Wamrong,70436.91,70.44
4,Trashigang,70738.34,70.74
5,Trashiyangtse,71614.75,71.61
6,Mongar,71787.46,71.79
7,Gyelposing,71793.17,71.79
8,Kanglung,70895.94,70.9
9,Pemagatshel,70318.07,70.32
10,Lhuntse,72324.12,72.32
11,Jomotsangkha,68604.39,68.6
12,Autsho,71974.31,71.97
13,Doksum,71016.34,71.02
14,Bhangtar,69649.85,69.65
15,Rangjung,71010.23,71.01
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-07-01#StationRSP/KLRSP/L1Samdrup Jongkhar69041.9369.042Nganglam69041.9369.043Wamrong70436.9170.444Trashigang70738.3470.745Trashiyangtse71614.7571.616Mongar71787.4671.797Gyelposing71793.1771.798Kanglung70895.9470.99Pemagatshel70318.0770.3210Lhuntse72324.1272.3211Jomotsangkha68604.3968.612Autsho71974.3171.9713Doksum71016.3471.0214Bhangtar69649.8569.6515Rangjung71010.2371.01",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,69041.93,69.04
2,Nganglam,69041.93,69.04
3,Wamrong,70436.91,70.44
4,Trashigang,70738.34,70.74
5,Trashiyangtse,71614.75,71.61
6,Mongar,71787.46,71.79
7,Gyelposing,71793.17,71.79
8,Kanglung,70895.94,70.9
9,Pemagatshel,70318.07,70.32
10,Lhuntse,72324.12,72.32
11,Jomotsangkha,68604.39,68.6
12,Autsho,71974.31,71.97
13,Doksum,71016.34,71.02
14,Bhangtar,69649.85,69.65
15,Rangjung,71010.23,71.01
