"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Gelephu Town66652.8166.652Sarpang66736.466.743Dagapela68342.8768.344Tsirang67862.7667.865Zhemgang70974.0270.976Trongsa69958.2969.967Bumthang70386.170.398Dagana68834.6168.839Lhamoizingkha69696.3269.710Dangdung70097.4570.111Panbang68205.3468.2112Tingtibi68411.6268.41",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,66652.81,66.65
2,Sarpang,66736.4,66.74
3,Dagapela,68342.87,68.34
4,Tsirang,67862.76,67.86
5,Zhemgang,70974.02,70.97
6,Trongsa,69958.29,69.96
7,Bumthang,70386.1,70.39
8,Dagana,68834.61,68.83
9,Lhamoizingkha,69696.32,69.7
10,Dangdung,70097.45,70.1
11,Panbang,68205.34,68.21
12,Tingtibi,68411.62,68.41
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Gelephu Town66652.8166.652Sarpang66736.466.743Dagapela68342.8768.344Tsirang67862.7667.865Zhemgang70974.0270.976Trongsa69958.2969.967Bumthang70386.170.398Dagana68834.6168.839Lhamoizingkha69696.3269.710Dangdung70097.4570.111Panbang68205.3468.2112Tingtibi68411.6268.41",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,66652.81,66.65
2,Sarpang,66736.4,66.74
3,Dagapela,68342.87,68.34
4,Tsirang,67862.76,67.86
5,Zhemgang,70974.02,70.97
6,Trongsa,69958.29,69.96
7,Bumthang,70386.1,70.39
8,Dagana,68834.61,68.83
9,Lhamoizingkha,69696.32,69.7
10,Dangdung,70097.45,70.1
11,Panbang,68205.34,68.21
12,Tingtibi,68411.62,68.41
