"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Phuentsholing68722.8268.722Rinchending68803.2868.83Pasakha68856.9268.864Chimakothi70170.770.175Chubachu70631.5570.636Paro Shaba70627.3470.637Haa71366.4871.378Wangdue Zero Point70873.9970.879Beychu71097.4971.110Samtse Checkpost68270.3268.2711Sipsoo69874.9769.8712Pagli68329.7568.3313Gedu69761.3769.7614Mitsina70784.5970.7815Khuruthang70851.1970.8516Gasa72150.2872.1517Dorokha69545.5569.5518Langdru (Khasadrapchu)70479.5770.48",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,68722.82,68.72
2,Rinchending,68803.28,68.8
3,Pasakha,68856.92,68.86
4,Chimakothi,70170.7,70.17
5,Chubachu,70631.55,70.63
6,Paro Shaba,70627.34,70.63
7,Haa,71366.48,71.37
8,Wangdue Zero Point,70873.99,70.87
9,Beychu,71097.49,71.1
10,Samtse Checkpost,68270.32,68.27
11,Sipsoo,69874.97,69.87
12,Pagli,68329.75,68.33
13,Gedu,69761.37,69.76
14,Mitsina,70784.59,70.78
15,Khuruthang,70851.19,70.85
16,Gasa,72150.28,72.15
17,Dorokha,69545.55,69.55
18,Langdru (Khasadrapchu),70479.57,70.48
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-06-16#StationRSP/KLRSP/L1Phuentsholing68722.8268.722Rinchending68803.2868.83Pasakha68856.9268.864Chimakothi70170.770.175Chubachu70631.5570.636Paro Shaba70627.3470.637Haa71366.4871.378Wangdue Zero Point70873.9970.879Beychu71097.4971.110Samtse Checkpost68270.3268.2711Sipsoo69874.9769.8712Pagli68329.7568.3313Gedu69761.3769.7614Mitsina70784.5970.7815Khuruthang70851.1970.8516Gasa72150.2872.1517Dorokha69545.5569.5518Langdru (Khasadrapchu)70479.5770.48",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,68722.82,68.72
2,Rinchending,68803.28,68.8
3,Pasakha,68856.92,68.86
4,Chimakothi,70170.7,70.17
5,Chubachu,70631.55,70.63
6,Paro Shaba,70627.34,70.63
7,Haa,71366.48,71.37
8,Wangdue Zero Point,70873.99,70.87
9,Beychu,71097.49,71.1
10,Samtse Checkpost,68270.32,68.27
11,Sipsoo,69874.97,69.87
12,Pagli,68329.75,68.33
13,Gedu,69761.37,69.76
14,Mitsina,70784.59,70.78
15,Khuruthang,70851.19,70.85
16,Gasa,72150.28,72.15
17,Dorokha,69545.55,69.55
18,Langdru (Khasadrapchu),70479.57,70.48
