"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Lobesa93695.993.72Phuentsholing91394.9191.393Rinchending91475.3791.484Pasakha91529.0191.535Chimakothi93349.2793.356Chubachu93776.4693.787Paro Shaba93814.0893.818Haa94739.994.749Wangdue Zero Point93785.393.7910Beychu94098.294.111Samtse Checkpost90897.8290.912Sipsoo9262792.6313Pagli90956.390.9614Gedu92949.1292.9515Mitsina93695.993.716Khuruthang93750.7693.7517Gasa95483.4195.4818Dorokha92388.3992.3919Langdru (Khasadrapchu)93624.4893.6220Chanzamtok93776.4693.7821Gomtu Phuentshopelri90956.390.9622Motithang93776.4693.7823Lungtenzampa93776.4693.7824Olakha93776.4693.7825Samtse Town90897.8290.926Langlitsawa94053.594.0527Gomtu90956.390.9628Phuentsholing Truck Parking91394.9191.3929Phuentsholing Dungkhag Office91394.9191.3930Phuentsholing Near MDP91394.9191.39",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,93695.9,93.7
2,Phuentsholing,91394.91,91.39
3,Rinchending,91475.37,91.48
4,Pasakha,91529.01,91.53
5,Chimakothi,93349.27,93.35
6,Chubachu,93776.46,93.78
7,Paro Shaba,93814.08,93.81
8,Haa,94739.9,94.74
9,Wangdue Zero Point,93785.3,93.79
10,Beychu,94098.2,94.1
11,Samtse Checkpost,90897.82,90.9
12,Sipsoo,92627,92.63
13,Pagli,90956.3,90.96
14,Gedu,92949.12,92.95
15,Mitsina,93695.9,93.7
16,Khuruthang,93750.76,93.75
17,Gasa,95483.41,95.48
18,Dorokha,92388.39,92.39
19,Langdru (Khasadrapchu),93624.48,93.62
20,Chanzamtok,93776.46,93.78
21,Gomtu Phuentshopelri,90956.3,90.96
22,Motithang,93776.46,93.78
23,Lungtenzampa,93776.46,93.78
24,Olakha,93776.46,93.78
25,Samtse Town,90897.82,90.9
26,Langlitsawa,94053.5,94.05
27,Gomtu,90956.3,90.96
28,Phuentsholing Truck Parking,91394.91,91.39
29,Phuentsholing Dungkhag Office,91394.91,91.39
30,Phuentsholing Near MDP,91394.91,91.39
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-04-01#StationRSP/KLRSP/L1Lobesa93695.993.72Phuentsholing91394.9191.393Rinchending91475.3791.484Pasakha91529.0191.535Chimakothi93349.2793.356Chubachu93776.4693.787Paro Shaba93814.0893.818Haa94739.994.749Wangdue Zero Point93785.393.7910Beychu94098.294.111Samtse Checkpost90897.8290.912Sipsoo9262792.6313Pagli90956.390.9614Gedu92949.1292.9515Mitsina93695.993.716Khuruthang93750.7693.7517Gasa95483.4195.4818Dorokha92388.3992.3919Langdru (Khasadrapchu)93624.4893.6220Chanzamtok93776.4693.7821Gomtu Phuentshopelri90956.390.9622Motithang93776.4693.7823Lungtenzampa93776.4693.7824Olakha93776.4693.7825Samtse Town90897.8290.926Langlitsawa94053.594.0527Gomtu90956.390.9628Phuentsholing Truck Parking91394.9191.3929Phuentsholing Dungkhag Office91394.9191.3930Phuentsholing Near MDP91394.9191.39",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,93695.9,93.7
2,Phuentsholing,91394.91,91.39
3,Rinchending,91475.37,91.48
4,Pasakha,91529.01,91.53
5,Chimakothi,93349.27,93.35
6,Chubachu,93776.46,93.78
7,Paro Shaba,93814.08,93.81
8,Haa,94739.9,94.74
9,Wangdue Zero Point,93785.3,93.79
10,Beychu,94098.2,94.1
11,Samtse Checkpost,90897.82,90.9
12,Sipsoo,92627,92.63
13,Pagli,90956.3,90.96
14,Gedu,92949.12,92.95
15,Mitsina,93695.9,93.7
16,Khuruthang,93750.76,93.75
17,Gasa,95483.41,95.48
18,Dorokha,92388.39,92.39
19,Langdru (Khasadrapchu),93624.48,93.62
20,Chanzamtok,93776.46,93.78
21,Gomtu Phuentshopelri,90956.3,90.96
22,Motithang,93776.46,93.78
23,Lungtenzampa,93776.46,93.78
24,Olakha,93776.46,93.78
25,Samtse Town,90897.82,90.9
26,Langlitsawa,94053.5,94.05
27,Gomtu,90956.3,90.96
28,Phuentsholing Truck Parking,91394.91,91.39
29,Phuentsholing Dungkhag Office,91394.91,91.39
30,Phuentsholing Near MDP,91394.91,91.39
