"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Nganglam98644.7698.642Samdrup Jongkhar Gate98860.1798.863Nganglam Potonala98644.7698.644Wamrong100476.71100.485Trashigang100594.47100.596Trashiyangtse101641.91101.647Mongar101745.95101.758Gyelposing101614.31101.619Kanglung100906100.9110Pemagatshel100302.35100.311Lhuntse102224.46102.2212Jomotsangkha98860.1798.8613Autsho101843.07101.8414Doksum100887.22100.8915Bhangtar99468.0999.4716Rangjung100918.46100.9217Samdrup Jongkhar Upper Town98860.1798.86",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,98644.76,98.64
2,Samdrup Jongkhar Gate,98860.17,98.86
3,Nganglam Potonala,98644.76,98.64
4,Wamrong,100476.71,100.48
5,Trashigang,100594.47,100.59
6,Trashiyangtse,101641.91,101.64
7,Mongar,101745.95,101.75
8,Gyelposing,101614.31,101.61
9,Kanglung,100906,100.91
10,Pemagatshel,100302.35,100.3
11,Lhuntse,102224.46,102.22
12,Jomotsangkha,98860.17,98.86
13,Autsho,101843.07,101.84
14,Doksum,100887.22,100.89
15,Bhangtar,99468.09,99.47
16,Rangjung,100918.46,100.92
17,Samdrup Jongkhar Upper Town,98860.17,98.86
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-16#StationRSP/KLRSP/L1Nganglam98644.7698.642Samdrup Jongkhar Gate98860.1798.863Nganglam Potonala98644.7698.644Wamrong100476.71100.485Trashigang100594.47100.596Trashiyangtse101641.91101.647Mongar101745.95101.758Gyelposing101614.31101.619Kanglung100906100.9110Pemagatshel100302.35100.311Lhuntse102224.46102.2212Jomotsangkha98860.1798.8613Autsho101843.07101.8414Doksum100887.22100.8915Bhangtar99468.0999.4716Rangjung100918.46100.9217Samdrup Jongkhar Upper Town98860.1798.86",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,98644.76,98.64
2,Samdrup Jongkhar Gate,98860.17,98.86
3,Nganglam Potonala,98644.76,98.64
4,Wamrong,100476.71,100.48
5,Trashigang,100594.47,100.59
6,Trashiyangtse,101641.91,101.64
7,Mongar,101745.95,101.75
8,Gyelposing,101614.31,101.61
9,Kanglung,100906,100.91
10,Pemagatshel,100302.35,100.3
11,Lhuntse,102224.46,102.22
12,Jomotsangkha,98860.17,98.86
13,Autsho,101843.07,101.84
14,Doksum,100887.22,100.89
15,Bhangtar,99468.09,99.47
16,Rangjung,100918.46,100.92
17,Samdrup Jongkhar Upper Town,98860.17,98.86
