"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-06-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate65800.0965.82Nganglam Potonala65757.2965.763Wamrong67170.9967.174Trashigang67492.3867.495Trashiyangtse68350.1968.356Mongar68530.3768.537Gyelposing68551.0268.558Kanglung67633.2567.639Pemagatshel67058.1867.0610Lhuntse69073.3669.0711Jomotsangkha65800.0965.812Autsho68726.9768.7313Doksum67767.8167.7714Bhangtar66408.0166.4115Rangjung67758.6167.76",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,65800.09,65.8
2,Nganglam Potonala,65757.29,65.76
3,Wamrong,67170.99,67.17
4,Trashigang,67492.38,67.49
5,Trashiyangtse,68350.19,68.35
6,Mongar,68530.37,68.53
7,Gyelposing,68551.02,68.55
8,Kanglung,67633.25,67.63
9,Pemagatshel,67058.18,67.06
10,Lhuntse,69073.36,69.07
11,Jomotsangkha,65800.09,65.8
12,Autsho,68726.97,68.73
13,Doksum,67767.81,67.77
14,Bhangtar,66408.01,66.41
15,Rangjung,67758.61,67.76
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-06-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate65800.0965.82Nganglam Potonala65757.2965.763Wamrong67170.9967.174Trashigang67492.3867.495Trashiyangtse68350.1968.356Mongar68530.3768.537Gyelposing68551.0268.558Kanglung67633.2567.639Pemagatshel67058.1867.0610Lhuntse69073.3669.0711Jomotsangkha65800.0965.812Autsho68726.9768.7313Doksum67767.8167.7714Bhangtar66408.0166.4115Rangjung67758.6167.76",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,65800.09,65.8
2,Nganglam Potonala,65757.29,65.76
3,Wamrong,67170.99,67.17
4,Trashigang,67492.38,67.49
5,Trashiyangtse,68350.19,68.35
6,Mongar,68530.37,68.53
7,Gyelposing,68551.02,68.55
8,Kanglung,67633.25,67.63
9,Pemagatshel,67058.18,67.06
10,Lhuntse,69073.36,69.07
11,Jomotsangkha,65800.09,65.8
12,Autsho,68726.97,68.73
13,Doksum,67767.81,67.77
14,Bhangtar,66408.01,66.41
15,Rangjung,67758.61,67.76
