"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-05-16#StationRSP/KLRSP/L1Gelephu Town64619.4564.622Sarpang64700.4764.73Dagapela66298.5766.34Tsirang6581765.825Zhemgang68926.6168.936Trongsa67911.667.917Bumthang68331.7768.338Dagana66787.5566.799Lhamoizingkha67662.7967.6610Dangdung68057.7468.0611Panbang66171.9866.1712Tingtibi66374.966.37",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,64619.45,64.62
2,Sarpang,64700.47,64.7
3,Dagapela,66298.57,66.3
4,Tsirang,65817,65.82
5,Zhemgang,68926.61,68.93
6,Trongsa,67911.6,67.91
7,Bumthang,68331.77,68.33
8,Dagana,66787.55,66.79
9,Lhamoizingkha,67662.79,67.66
10,Dangdung,68057.74,68.06
11,Panbang,66171.98,66.17
12,Tingtibi,66374.9,66.37
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2021-05-16#StationRSP/KLRSP/L1Gelephu Town64619.4564.622Sarpang64700.4764.73Dagapela66298.5766.34Tsirang6581765.825Zhemgang68926.6168.936Trongsa67911.667.917Bumthang68331.7768.338Dagana66787.5566.799Lhamoizingkha67662.7967.6610Dangdung68057.7468.0611Panbang66171.9866.1712Tingtibi66374.966.37",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,64619.45,64.62
2,Sarpang,64700.47,64.7
3,Dagapela,66298.57,66.3
4,Tsirang,65817,65.82
5,Zhemgang,68926.61,68.93
6,Trongsa,67911.6,67.91
7,Bumthang,68331.77,68.33
8,Dagana,66787.55,66.79
9,Lhamoizingkha,67662.79,67.66
10,Dangdung,68057.74,68.06
11,Panbang,66171.98,66.17
12,Tingtibi,66374.9,66.37
