"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-05-16#StationRSP/KLRSP/L1Phuentsholing69376.8469.382Rinchending69457.369.463Pasakha69510.9469.514Chimakothi71061.7571.065Chubachu71506.8571.516Paro Shaba71522.2171.527Haa72348.7272.358Wangdue Zero Point71639.9671.649Beychu71863.4671.8610Samtse Checkpost68923.268.9211Sipsoo70555.4970.5612Pagli68982.7868.9813Gedu70656.7270.6614Mitsina71550.5671.5515Khuruthang71611.6771.6116Gasa73113.6673.1117Dorokha70312.9570.3118Langdru (Khasadrapchu)71354.8771.35",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,69376.84,69.38
2,Rinchending,69457.3,69.46
3,Pasakha,69510.94,69.51
4,Chimakothi,71061.75,71.06
5,Chubachu,71506.85,71.51
6,Paro Shaba,71522.21,71.52
7,Haa,72348.72,72.35
8,Wangdue Zero Point,71639.96,71.64
9,Beychu,71863.46,71.86
10,Samtse Checkpost,68923.2,68.92
11,Sipsoo,70555.49,70.56
12,Pagli,68982.78,68.98
13,Gedu,70656.72,70.66
14,Mitsina,71550.56,71.55
15,Khuruthang,71611.67,71.61
16,Gasa,73113.66,73.11
17,Dorokha,70312.95,70.31
18,Langdru (Khasadrapchu),71354.87,71.35
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-05-16#StationRSP/KLRSP/L1Phuentsholing69376.8469.382Rinchending69457.369.463Pasakha69510.9469.514Chimakothi71061.7571.065Chubachu71506.8571.516Paro Shaba71522.2171.527Haa72348.7272.358Wangdue Zero Point71639.9671.649Beychu71863.4671.8610Samtse Checkpost68923.268.9211Sipsoo70555.4970.5612Pagli68982.7868.9813Gedu70656.7270.6614Mitsina71550.5671.5515Khuruthang71611.6771.6116Gasa73113.6673.1117Dorokha70312.9570.3118Langdru (Khasadrapchu)71354.8771.35",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,69376.84,69.38
2,Rinchending,69457.3,69.46
3,Pasakha,69510.94,69.51
4,Chimakothi,71061.75,71.06
5,Chubachu,71506.85,71.51
6,Paro Shaba,71522.21,71.52
7,Haa,72348.72,72.35
8,Wangdue Zero Point,71639.96,71.64
9,Beychu,71863.46,71.86
10,Samtse Checkpost,68923.2,68.92
11,Sipsoo,70555.49,70.56
12,Pagli,68982.78,68.98
13,Gedu,70656.72,70.66
14,Mitsina,71550.56,71.55
15,Khuruthang,71611.67,71.61
16,Gasa,73113.66,73.11
17,Dorokha,70312.95,70.31
18,Langdru (Khasadrapchu),71354.87,71.35
