"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Phuentsholing64833.1564.832Rinchending64913.6164.913Pasakha64967.2564.974Chimakothi66246.9466.255Lungtenzampa66710.0666.716Paro Town66703.0466.77Haa67429.6267.438Bajo Town66968.2266.979Beychu67191.7267.1910Samtse Town64379.9264.3811Sipsoo65981.4965.9812Gomtu64439.3864.4413Gedu65836.9965.8414Lobesa66865.7566.8715Khuruthang66946.2166.9516Gasa68216.1368.22",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64833.15,64.83
2,Rinchending,64913.61,64.91
3,Pasakha,64967.25,64.97
4,Chimakothi,66246.94,66.25
5,Lungtenzampa,66710.06,66.71
6,Paro Town,66703.04,66.7
7,Haa,67429.62,67.43
8,Bajo Town,66968.22,66.97
9,Beychu,67191.72,67.19
10,Samtse Town,64379.92,64.38
11,Sipsoo,65981.49,65.98
12,Gomtu,64439.38,64.44
13,Gedu,65836.99,65.84
14,Lobesa,66865.75,66.87
15,Khuruthang,66946.21,66.95
16,Gasa,68216.13,68.22
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Phuentsholing64833.1564.832Rinchending64913.6164.913Pasakha64967.2564.974Chimakothi66246.9466.255Lungtenzampa66710.0666.716Paro Town66703.0466.77Haa67429.6267.438Bajo Town66968.2266.979Beychu67191.7267.1910Samtse Town64379.9264.3811Sipsoo65981.4965.9812Gomtu64439.3864.4413Gedu65836.9965.8414Lobesa66865.7566.8715Khuruthang66946.2166.9516Gasa68216.1368.22",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64833.15,64.83
2,Rinchending,64913.61,64.91
3,Pasakha,64967.25,64.97
4,Chimakothi,66246.94,66.25
5,Lungtenzampa,66710.06,66.71
6,Paro Town,66703.04,66.7
7,Haa,67429.62,67.43
8,Bajo Town,66968.22,66.97
9,Beychu,67191.72,67.19
10,Samtse Town,64379.92,64.38
11,Sipsoo,65981.49,65.98
12,Gomtu,64439.38,64.44
13,Gedu,65836.99,65.84
14,Lobesa,66865.75,66.87
15,Khuruthang,66946.21,66.95
16,Gasa,68216.13,68.22
