"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Phuentsholing64866.9864.872Rinchending64947.4464.953Pasakha65001.08654Chimakothi66281.0766.285Chubachu66744.1766.746Paro Shaba66737.1766.747Haa67463.8667.468Wangdue Zero Point67002.19679Beychu67225.6967.2310Samtse Checkpost64414.4564.4111Sipsoo66015.3566.0212Pagli64473.8964.4713Gedu65871.1365.8714Mitsina66912.7966.9115Khuruthang66980.1766.9816Gasa68250.3568.2517Dorokha65673.5565.6718Langdru (Khasadrapchu)66592.1966.59",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64866.98,64.87
2,Rinchending,64947.44,64.95
3,Pasakha,65001.08,65
4,Chimakothi,66281.07,66.28
5,Chubachu,66744.17,66.74
6,Paro Shaba,66737.17,66.74
7,Haa,67463.86,67.46
8,Wangdue Zero Point,67002.19,67
9,Beychu,67225.69,67.23
10,Samtse Checkpost,64414.45,64.41
11,Sipsoo,66015.35,66.02
12,Pagli,64473.89,64.47
13,Gedu,65871.13,65.87
14,Mitsina,66912.79,66.91
15,Khuruthang,66980.17,66.98
16,Gasa,68250.35,68.25
17,Dorokha,65673.55,65.67
18,Langdru (Khasadrapchu),66592.19,66.59
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Phuentsholing64866.9864.872Rinchending64947.4464.953Pasakha65001.08654Chimakothi66281.0766.285Chubachu66744.1766.746Paro Shaba66737.1766.747Haa67463.8667.468Wangdue Zero Point67002.19679Beychu67225.6967.2310Samtse Checkpost64414.4564.4111Sipsoo66015.3566.0212Pagli64473.8964.4713Gedu65871.1365.8714Mitsina66912.7966.9115Khuruthang66980.1766.9816Gasa68250.3568.2517Dorokha65673.5565.6718Langdru (Khasadrapchu)66592.1966.59",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,64866.98,64.87
2,Rinchending,64947.44,64.95
3,Pasakha,65001.08,65
4,Chimakothi,66281.07,66.28
5,Chubachu,66744.17,66.74
6,Paro Shaba,66737.17,66.74
7,Haa,67463.86,67.46
8,Wangdue Zero Point,67002.19,67
9,Beychu,67225.69,67.23
10,Samtse Checkpost,64414.45,64.41
11,Sipsoo,66015.35,66.02
12,Pagli,64473.89,64.47
13,Gedu,65871.13,65.87
14,Mitsina,66912.79,66.91
15,Khuruthang,66980.17,66.98
16,Gasa,68250.35,68.25
17,Dorokha,65673.55,65.67
18,Langdru (Khasadrapchu),66592.19,66.59
