"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Gelephu Town65598.7465.62Sarpang65712.4265.713Dagapela67417.1567.424Tsirang66954.0866.955Zhemgang70084.770.086Trongsa69060.5669.067Bumthang6957869.588Dagana67941.0867.949Lhamoizingkha69476.8469.4810Dangdung69117.8769.1211Panbang67151.2767.1512Tingtibi67396.8967.4",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,65598.74,65.6
2,Sarpang,65712.42,65.71
3,Dagapela,67417.15,67.42
4,Tsirang,66954.08,66.95
5,Zhemgang,70084.7,70.08
6,Trongsa,69060.56,69.06
7,Bumthang,69578,69.58
8,Dagana,67941.08,67.94
9,Lhamoizingkha,69476.84,69.48
10,Dangdung,69117.87,69.12
11,Panbang,67151.27,67.15
12,Tingtibi,67396.89,67.4
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Gelephu Town65598.7465.62Sarpang65712.4265.713Dagapela67417.1567.424Tsirang66954.0866.955Zhemgang70084.770.086Trongsa69060.5669.067Bumthang6957869.588Dagana67941.0867.949Lhamoizingkha69476.8469.4810Dangdung69117.8769.1211Panbang67151.2767.1512Tingtibi67396.8967.4",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,65598.74,65.6
2,Sarpang,65712.42,65.71
3,Dagapela,67417.15,67.42
4,Tsirang,66954.08,66.95
5,Zhemgang,70084.7,70.08
6,Trongsa,69060.56,69.06
7,Bumthang,69578,69.58
8,Dagana,67941.08,67.94
9,Lhamoizingkha,69476.84,69.48
10,Dangdung,69117.87,69.12
11,Panbang,67151.27,67.15
12,Tingtibi,67396.89,67.4
