"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar63390.4263.392Nganglam63390.4263.393Wamrong64743.4164.744Trashigang65079.6565.085Trashiyangtse65923.6465.926Mongar66109.3766.117Gyelposing66141.1166.148Kanglung65208.0765.219Pemagatshel64635.0964.6410Lhuntse66657.0566.6611Jomotsangkha62952.8962.9512Autsho66313.2266.3113Doksum65353.1665.3514Bhangtar63998.346415Rangjung65341.6665.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,63390.42,63.39
2,Nganglam,63390.42,63.39
3,Wamrong,64743.41,64.74
4,Trashigang,65079.65,65.08
5,Trashiyangtse,65923.64,65.92
6,Mongar,66109.37,66.11
7,Gyelposing,66141.11,66.14
8,Kanglung,65208.07,65.21
9,Pemagatshel,64635.09,64.64
10,Lhuntse,66657.05,66.66
11,Jomotsangkha,62952.89,62.95
12,Autsho,66313.22,66.31
13,Doksum,65353.16,65.35
14,Bhangtar,63998.34,64
15,Rangjung,65341.66,65.34
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar63390.4263.392Nganglam63390.4263.393Wamrong64743.4164.744Trashigang65079.6565.085Trashiyangtse65923.6465.926Mongar66109.3766.117Gyelposing66141.1166.148Kanglung65208.0765.219Pemagatshel64635.0964.6410Lhuntse66657.0566.6611Jomotsangkha62952.8962.9512Autsho66313.2266.3113Doksum65353.1665.3514Bhangtar63998.346415Rangjung65341.6665.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,63390.42,63.39
2,Nganglam,63390.42,63.39
3,Wamrong,64743.41,64.74
4,Trashigang,65079.65,65.08
5,Trashiyangtse,65923.64,65.92
6,Mongar,66109.37,66.11
7,Gyelposing,66141.11,66.14
8,Kanglung,65208.07,65.21
9,Pemagatshel,64635.09,64.64
10,Lhuntse,66657.05,66.66
11,Jomotsangkha,62952.89,62.95
12,Autsho,66313.22,66.31
13,Doksum,65353.16,65.35
14,Bhangtar,63998.34,64
15,Rangjung,65341.66,65.34
