"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar66193.6666.192Nganglam66193.6666.193Wamrong67754.2367.754Trashigang67918.3967.925Trashiyangtse68922.6268.926Mongar69044.0169.047Gyelposing68947.0668.958Kanglung68191.0368.199Pemagatshel67593.8967.5910Lhuntse69537.2169.5411Jomotsangkha65755.0665.7612Autsho69163.869.1613Doksum68214.0968.2114Bhangtar66801.5866.815Rangjung68229.2268.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,66193.66,66.19
2,Nganglam,66193.66,66.19
3,Wamrong,67754.23,67.75
4,Trashigang,67918.39,67.92
5,Trashiyangtse,68922.62,68.92
6,Mongar,69044.01,69.04
7,Gyelposing,68947.06,68.95
8,Kanglung,68191.03,68.19
9,Pemagatshel,67593.89,67.59
10,Lhuntse,69537.21,69.54
11,Jomotsangkha,65755.06,65.76
12,Autsho,69163.8,69.16
13,Doksum,68214.09,68.21
14,Bhangtar,66801.58,66.8
15,Rangjung,68229.22,68.23
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar66193.6666.192Nganglam66193.6666.193Wamrong67754.2367.754Trashigang67918.3967.925Trashiyangtse68922.6268.926Mongar69044.0169.047Gyelposing68947.0668.958Kanglung68191.0368.199Pemagatshel67593.8967.5910Lhuntse69537.2169.5411Jomotsangkha65755.0665.7612Autsho69163.869.1613Doksum68214.0968.2114Bhangtar66801.5866.815Rangjung68229.2268.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,66193.66,66.19
2,Nganglam,66193.66,66.19
3,Wamrong,67754.23,67.75
4,Trashigang,67918.39,67.92
5,Trashiyangtse,68922.62,68.92
6,Mongar,69044.01,69.04
7,Gyelposing,68947.06,68.95
8,Kanglung,68191.03,68.19
9,Pemagatshel,67593.89,67.59
10,Lhuntse,69537.21,69.54
11,Jomotsangkha,65755.06,65.76
12,Autsho,69163.8,69.16
13,Doksum,68214.09,68.21
14,Bhangtar,66801.58,66.8
15,Rangjung,68229.22,68.23
