"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate63390.363.392Nganglam Potonala62674.3962.673Wamrong64743.2964.744Trashigang65079.5365.085Trashiyangtse65923.5265.926Mongar66109.2566.117Gyelposing66140.9966.148Kanglung65207.9565.219Pemagatshel64634.9764.6310Lhuntse66656.9366.6611Jomotsangkha63390.363.3912Autsho66313.166.3113Doksum65353.0465.3514Bhangtar63998.226415Rangjung65341.5465.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,63390.3,63.39
2,Nganglam Potonala,62674.39,62.67
3,Wamrong,64743.29,64.74
4,Trashigang,65079.53,65.08
5,Trashiyangtse,65923.52,65.92
6,Mongar,66109.25,66.11
7,Gyelposing,66140.99,66.14
8,Kanglung,65207.95,65.21
9,Pemagatshel,64634.97,64.63
10,Lhuntse,66656.93,66.66
11,Jomotsangkha,63390.3,63.39
12,Autsho,66313.1,66.31
13,Doksum,65353.04,65.35
14,Bhangtar,63998.22,64
15,Rangjung,65341.54,65.34
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate63390.363.392Nganglam Potonala62674.3962.673Wamrong64743.2964.744Trashigang65079.5365.085Trashiyangtse65923.5265.926Mongar66109.2566.117Gyelposing66140.9966.148Kanglung65207.9565.219Pemagatshel64634.9764.6310Lhuntse66656.9366.6611Jomotsangkha63390.363.3912Autsho66313.166.3113Doksum65353.0465.3514Bhangtar63998.226415Rangjung65341.5465.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,63390.3,63.39
2,Nganglam Potonala,62674.39,62.67
3,Wamrong,64743.29,64.74
4,Trashigang,65079.53,65.08
5,Trashiyangtse,65923.52,65.92
6,Mongar,66109.25,66.11
7,Gyelposing,66140.99,66.14
8,Kanglung,65207.95,65.21
9,Pemagatshel,64634.97,64.63
10,Lhuntse,66656.93,66.66
11,Jomotsangkha,63390.3,63.39
12,Autsho,66313.1,66.31
13,Doksum,65353.04,65.35
14,Bhangtar,63998.22,64
15,Rangjung,65341.54,65.34
