"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate66193.5466.192Nganglam Potonala66150.6266.153Wamrong67754.1167.754Trashigang67918.2767.925Trashiyangtse68922.568.926Mongar69043.8969.047Gyelposing68946.9468.958Kanglung68190.9168.199Pemagatshel67593.7767.5910Lhuntse69537.0969.5411Jomotsangkha66193.5466.1912Autsho69163.6869.1613Doksum68213.9768.2114Bhangtar66801.4666.815Rangjung68229.168.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,66193.54,66.19
2,Nganglam Potonala,66150.62,66.15
3,Wamrong,67754.11,67.75
4,Trashigang,67918.27,67.92
5,Trashiyangtse,68922.5,68.92
6,Mongar,69043.89,69.04
7,Gyelposing,68946.94,68.95
8,Kanglung,68190.91,68.19
9,Pemagatshel,67593.77,67.59
10,Lhuntse,69537.09,69.54
11,Jomotsangkha,66193.54,66.19
12,Autsho,69163.68,69.16
13,Doksum,68213.97,68.21
14,Bhangtar,66801.46,66.8
15,Rangjung,68229.1,68.23
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar Gate66193.5466.192Nganglam Potonala66150.6266.153Wamrong67754.1167.754Trashigang67918.2767.925Trashiyangtse68922.568.926Mongar69043.8969.047Gyelposing68946.9468.958Kanglung68190.9168.199Pemagatshel67593.7767.5910Lhuntse69537.0969.5411Jomotsangkha66193.5466.1912Autsho69163.6869.1613Doksum68213.9768.2114Bhangtar66801.4666.815Rangjung68229.168.23",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar Gate,66193.54,66.19
2,Nganglam Potonala,66150.62,66.15
3,Wamrong,67754.11,67.75
4,Trashigang,67918.27,67.92
5,Trashiyangtse,68922.5,68.92
6,Mongar,69043.89,69.04
7,Gyelposing,68946.94,68.95
8,Kanglung,68190.91,68.19
9,Pemagatshel,67593.77,67.59
10,Lhuntse,69537.09,69.54
11,Jomotsangkha,66193.54,66.19
12,Autsho,69163.68,69.16
13,Doksum,68213.97,68.21
14,Bhangtar,66801.46,66.8
15,Rangjung,68229.1,68.23
