"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-04-17#StationRSP/KLRSP/L1Gelephu Forest Checkpost64158.6564.162Sarpang64530.4964.533Dagapela65966.2465.974Tsirang65501.7365.55Zhemgang66216.9166.226Trongsa67178.1667.187Bumthang68117.1668.128Dagana66487.4566.499Lhamoizingkha65167.765.1710Dangdung67671.567.6711Panbang65711.1865.7112Tingtibi65376.7865.38",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,64158.65,64.16
2,Sarpang,64530.49,64.53
3,Dagapela,65966.24,65.97
4,Tsirang,65501.73,65.5
5,Zhemgang,66216.91,66.22
6,Trongsa,67178.16,67.18
7,Bumthang,68117.16,68.12
8,Dagana,66487.45,66.49
9,Lhamoizingkha,65167.7,65.17
10,Dangdung,67671.5,67.67
11,Panbang,65711.18,65.71
12,Tingtibi,65376.78,65.38
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:MS (in KL)Approved Date:2021-04-17#StationRSP/KLRSP/L1Gelephu Forest Checkpost64158.6564.162Sarpang64530.4964.533Dagapela65966.2465.974Tsirang65501.7365.55Zhemgang66216.9166.226Trongsa67178.1667.187Bumthang68117.1668.128Dagana66487.4566.499Lhamoizingkha65167.765.1710Dangdung67671.567.6711Panbang65711.1865.7112Tingtibi65376.7865.38",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,64158.65,64.16
2,Sarpang,64530.49,64.53
3,Dagapela,65966.24,65.97
4,Tsirang,65501.73,65.5
5,Zhemgang,66216.91,66.22
6,Trongsa,67178.16,67.18
7,Bumthang,68117.16,68.12
8,Dagana,66487.45,66.49
9,Lhamoizingkha,65167.7,65.17
10,Dangdung,67671.5,67.67
11,Panbang,65711.18,65.71
12,Tingtibi,65376.78,65.38
