"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Phuentsholing66894.9166.892Rinchending66975.3766.983Pasakha67029.0167.034Chimakothi68549.4568.555Chubachu68996.57696Paro Shaba69009.4269.017Haa69824.7369.828Wangdue Zero Point69143.6969.149Beychu69367.1969.3710Samtse Checkpost66454.4366.4511Sipsoo68070.1668.0712Pagli66512.2666.5113Gedu68143.8668.1414Mitsina69054.2969.0515Khuruthang69116.169.1216Gasa70592.0970.5917Dorokha67816.4967.8218Langdru (Khasadrapchu)68844.5968.84",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,66894.91,66.89
2,Rinchending,66975.37,66.98
3,Pasakha,67029.01,67.03
4,Chimakothi,68549.45,68.55
5,Chubachu,68996.57,69
6,Paro Shaba,69009.42,69.01
7,Haa,69824.73,69.82
8,Wangdue Zero Point,69143.69,69.14
9,Beychu,69367.19,69.37
10,Samtse Checkpost,66454.43,66.45
11,Sipsoo,68070.16,68.07
12,Pagli,66512.26,66.51
13,Gedu,68143.86,68.14
14,Mitsina,69054.29,69.05
15,Khuruthang,69116.1,69.12
16,Gasa,70592.09,70.59
17,Dorokha,67816.49,67.82
18,Langdru (Khasadrapchu),68844.59,68.84
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Phuentsholing66894.9166.892Rinchending66975.3766.983Pasakha67029.0167.034Chimakothi68549.4568.555Chubachu68996.57696Paro Shaba69009.4269.017Haa69824.7369.828Wangdue Zero Point69143.6969.149Beychu69367.1969.3710Samtse Checkpost66454.4366.4511Sipsoo68070.1668.0712Pagli66512.2666.5113Gedu68143.8668.1414Mitsina69054.2969.0515Khuruthang69116.169.1216Gasa70592.0970.5917Dorokha67816.4967.8218Langdru (Khasadrapchu)68844.5968.84",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,66894.91,66.89
2,Rinchending,66975.37,66.98
3,Pasakha,67029.01,67.03
4,Chimakothi,68549.45,68.55
5,Chubachu,68996.57,69
6,Paro Shaba,69009.42,69.01
7,Haa,69824.73,69.82
8,Wangdue Zero Point,69143.69,69.14
9,Beychu,69367.19,69.37
10,Samtse Checkpost,66454.43,66.45
11,Sipsoo,68070.16,68.07
12,Pagli,66512.26,66.51
13,Gedu,68143.86,68.14
14,Mitsina,69054.29,69.05
15,Khuruthang,69116.1,69.12
16,Gasa,70592.09,70.59
17,Dorokha,67816.49,67.82
18,Langdru (Khasadrapchu),68844.59,68.84
