"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Samdrup Jongkhar61475.9361.482Nganglam61475.9361.483Wamrong62814.762.814Trashigang63162.7263.165Trashiyangtse63995.73646Mongar64185.8764.197Gyelposing64226.4464.238Kanglung63281.2763.289Pemagatshel62709.9462.7110Lhuntse64737.2964.7411Jomotsangkha60186.8860.1912Autsho64395.4964.413Doksum63434.7263.4314Bhangtar62083.8562.0815Rangjung63421.463.42",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,61475.93,61.48
2,Nganglam,61475.93,61.48
3,Wamrong,62814.7,62.81
4,Trashigang,63162.72,63.16
5,Trashiyangtse,63995.73,64
6,Mongar,64185.87,64.19
7,Gyelposing,64226.44,64.23
8,Kanglung,63281.27,63.28
9,Pemagatshel,62709.94,62.71
10,Lhuntse,64737.29,64.74
11,Jomotsangkha,60186.88,60.19
12,Autsho,64395.49,64.4
13,Doksum,63434.72,63.43
14,Bhangtar,62083.85,62.08
15,Rangjung,63421.4,63.42
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Samdrup Jongkhar61475.9361.482Nganglam61475.9361.483Wamrong62814.762.814Trashigang63162.7263.165Trashiyangtse63995.73646Mongar64185.8764.197Gyelposing64226.4464.238Kanglung63281.2763.289Pemagatshel62709.9462.7110Lhuntse64737.2964.7411Jomotsangkha60186.8860.1912Autsho64395.4964.413Doksum63434.7263.4314Bhangtar62083.8562.0815Rangjung63421.463.42",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,61475.93,61.48
2,Nganglam,61475.93,61.48
3,Wamrong,62814.7,62.81
4,Trashigang,63162.72,63.16
5,Trashiyangtse,63995.73,64
6,Mongar,64185.87,64.19
7,Gyelposing,64226.44,64.23
8,Kanglung,63281.27,63.28
9,Pemagatshel,62709.94,62.71
10,Lhuntse,64737.29,64.74
11,Jomotsangkha,60186.88,60.19
12,Autsho,64395.49,64.4
13,Doksum,63434.72,63.43
14,Bhangtar,62083.85,62.08
15,Rangjung,63421.4,63.42
