"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Samdrup Jongkhar64317.3564.322Nganglam64317.3564.323Wamrong65858.4565.864Trashigang66038.7566.045Trashiyangtse67027.9567.036Mongar67155.3767.167Gyelposing67070.567.078Kanglung66297.8766.39Pemagatshel65702.9965.710Lhuntse67653.6867.6511Jomotsangkha63025.1463.0312Autsho67283.0567.2813Doksum66332.3766.3314Bhangtar64925.2764.9315Rangjung6634566.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,64317.35,64.32
2,Nganglam,64317.35,64.32
3,Wamrong,65858.45,65.86
4,Trashigang,66038.75,66.04
5,Trashiyangtse,67027.95,67.03
6,Mongar,67155.37,67.16
7,Gyelposing,67070.5,67.07
8,Kanglung,66297.87,66.3
9,Pemagatshel,65702.99,65.7
10,Lhuntse,67653.68,67.65
11,Jomotsangkha,63025.14,63.03
12,Autsho,67283.05,67.28
13,Doksum,66332.37,66.33
14,Bhangtar,64925.27,64.93
15,Rangjung,66345,66.34
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2021-04-01#StationRSP/KLRSP/L1Samdrup Jongkhar64317.3564.322Nganglam64317.3564.323Wamrong65858.4565.864Trashigang66038.7566.045Trashiyangtse67027.9567.036Mongar67155.3767.167Gyelposing67070.567.078Kanglung66297.8766.39Pemagatshel65702.9965.710Lhuntse67653.6867.6511Jomotsangkha63025.1463.0312Autsho67283.0567.2813Doksum66332.3766.3314Bhangtar64925.2764.9315Rangjung6634566.34",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,64317.35,64.32
2,Nganglam,64317.35,64.32
3,Wamrong,65858.45,65.86
4,Trashigang,66038.75,66.04
5,Trashiyangtse,67027.95,67.03
6,Mongar,67155.37,67.16
7,Gyelposing,67070.5,67.07
8,Kanglung,66297.87,66.3
9,Pemagatshel,65702.99,65.7
10,Lhuntse,67653.68,67.65
11,Jomotsangkha,63025.14,63.03
12,Autsho,67283.05,67.28
13,Doksum,66332.37,66.33
14,Bhangtar,64925.27,64.93
15,Rangjung,66345,66.34
