"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Gelephu Town8215182.152Sarpang82514.8482.513Dagapela83924.4983.924Tsirang83455.4583.465Zhemgang86579.2986.586Trongsa85558.185.567Bumthang86044.1786.048Dagana84437.1584.449Lhamoizingkha82374.182.3710Dangdung85644.0685.6411Panbang83703.5383.712Tingtibi83935.3883.94",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,82151,82.15
2,Sarpang,82514.84,82.51
3,Dagapela,83924.49,83.92
4,Tsirang,83455.45,83.46
5,Zhemgang,86579.29,86.58
6,Trongsa,85558.1,85.56
7,Bumthang,86044.17,86.04
8,Dagana,84437.15,84.44
9,Lhamoizingkha,82374.1,82.37
10,Dangdung,85644.06,85.64
11,Panbang,83703.53,83.7
12,Tingtibi,83935.38,83.94
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Gelephu Town8215182.152Sarpang82514.8482.513Dagapela83924.4983.924Tsirang83455.4583.465Zhemgang86579.2986.586Trongsa85558.185.567Bumthang86044.1786.048Dagana84437.1584.449Lhamoizingkha82374.182.3710Dangdung85644.0685.6411Panbang83703.5383.712Tingtibi83935.3883.94",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,82151,82.15
2,Sarpang,82514.84,82.51
3,Dagapela,83924.49,83.92
4,Tsirang,83455.45,83.46
5,Zhemgang,86579.29,86.58
6,Trongsa,85558.1,85.56
7,Bumthang,86044.17,86.04
8,Dagana,84437.15,84.44
9,Lhamoizingkha,82374.1,82.37
10,Dangdung,85644.06,85.64
11,Panbang,83703.53,83.7
12,Tingtibi,83935.38,83.94
