"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost8215182.152Sarpang82514.8482.513Dagapela83924.4983.924Tsirang83455.4583.465Zhemgang84165.4984.176Trongsa85128.9885.137Bumthang86044.1786.048Dagana84437.1584.449Lhamoizingkha83159.4983.1610Dangdung85644.0685.6411Panbang83703.5383.712Tingtibi83358.6883.3613Gelephu Gate8215182.1514Gelephu Town8215182.15",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,82151,82.15
2,Sarpang,82514.84,82.51
3,Dagapela,83924.49,83.92
4,Tsirang,83455.45,83.46
5,Zhemgang,84165.49,84.17
6,Trongsa,85128.98,85.13
7,Bumthang,86044.17,86.04
8,Dagana,84437.15,84.44
9,Lhamoizingkha,83159.49,83.16
10,Dangdung,85644.06,85.64
11,Panbang,83703.53,83.7
12,Tingtibi,83358.68,83.36
13,Gelephu Gate,82151,82.15
14,Gelephu Town,82151,82.15
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost8215182.152Sarpang82514.8482.513Dagapela83924.4983.924Tsirang83455.4583.465Zhemgang84165.4984.176Trongsa85128.9885.137Bumthang86044.1786.048Dagana84437.1584.449Lhamoizingkha83159.4983.1610Dangdung85644.0685.6411Panbang83703.5383.712Tingtibi83358.6883.3613Gelephu Gate8215182.1514Gelephu Town8215182.15",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,82151,82.15
2,Sarpang,82514.84,82.51
3,Dagapela,83924.49,83.92
4,Tsirang,83455.45,83.46
5,Zhemgang,84165.49,84.17
6,Trongsa,85128.98,85.13
7,Bumthang,86044.17,86.04
8,Dagana,84437.15,84.44
9,Lhamoizingkha,83159.49,83.16
10,Dangdung,85644.06,85.64
11,Panbang,83703.53,83.7
12,Tingtibi,83358.68,83.36
13,Gelephu Gate,82151,82.15
14,Gelephu Town,82151,82.15
