"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Nganglam82256.4682.262Samdrup Jongkhar Gate82471.8682.473Nganglam Potonala82256.4682.264Wamrong83966.6383.975Trashigang84185.3384.196Trashiyangtse85138.7785.147Mongar85280.5685.288Gyelposing85224.4185.229Kanglung84412.2784.4110Pemagatshel83822.7883.8211Lhuntse85791.0385.7912Jomotsangkha82471.8682.4713Autsho85426.9985.4314Doksum8447484.4715Bhangtar83079.7883.0816Rangjung84480.6984.4817Samdrup Jongkhar Upper Town82471.8682.47",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,82256.46,82.26
2,Samdrup Jongkhar Gate,82471.86,82.47
3,Nganglam Potonala,82256.46,82.26
4,Wamrong,83966.63,83.97
5,Trashigang,84185.33,84.19
6,Trashiyangtse,85138.77,85.14
7,Mongar,85280.56,85.28
8,Gyelposing,85224.41,85.22
9,Kanglung,84412.27,84.41
10,Pemagatshel,83822.78,83.82
11,Lhuntse,85791.03,85.79
12,Jomotsangkha,82471.86,82.47
13,Autsho,85426.99,85.43
14,Doksum,84474,84.47
15,Bhangtar,83079.78,83.08
16,Rangjung,84480.69,84.48
17,Samdrup Jongkhar Upper Town,82471.86,82.47
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-03-01#StationRSP/KLRSP/L1Nganglam82256.4682.262Samdrup Jongkhar Gate82471.8682.473Nganglam Potonala82256.4682.264Wamrong83966.6383.975Trashigang84185.3384.196Trashiyangtse85138.7785.147Mongar85280.5685.288Gyelposing85224.4185.229Kanglung84412.2784.4110Pemagatshel83822.7883.8211Lhuntse85791.0385.7912Jomotsangkha82471.8682.4713Autsho85426.9985.4314Doksum8447484.4715Bhangtar83079.7883.0816Rangjung84480.6984.4817Samdrup Jongkhar Upper Town82471.8682.47",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,82256.46,82.26
2,Samdrup Jongkhar Gate,82471.86,82.47
3,Nganglam Potonala,82256.46,82.26
4,Wamrong,83966.63,83.97
5,Trashigang,84185.33,84.19
6,Trashiyangtse,85138.77,85.14
7,Mongar,85280.56,85.28
8,Gyelposing,85224.41,85.22
9,Kanglung,84412.27,84.41
10,Pemagatshel,83822.78,83.82
11,Lhuntse,85791.03,85.79
12,Jomotsangkha,82471.86,82.47
13,Autsho,85426.99,85.43
14,Doksum,84474,84.47
15,Bhangtar,83079.78,83.08
16,Rangjung,84480.69,84.48
17,Samdrup Jongkhar Upper Town,82471.86,82.47
