"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Lobesa82003.07822Phuentsholing79769.2879.773Rinchending79849.7479.854Pasakha79903.3879.95Chimakothi81581.3781.586Chubachu82018.0282.027Paro Shaba82043.8882.048Haa82917.2782.929Wangdue Zero Point82092.4782.0910Beychu82315.9782.3211Samtse Checkpost79769.2879.7712Sipsoo80962.1480.9613Pagli79330.6979.3314Gedu81178.6481.1815Mitsina82003.078216Khuruthang82061.2382.0617Gasa83672.0983.6718Dorokha80766.2380.7719Langdru (Khasadrapchu)81866.0481.8720Chanzamtok82018.0282.0221Gomtu Phuentshopelri79330.6979.3322Motithang82018.0282.0223Lungtenzampa82018.0282.0224Olakha82018.0282.0225Samtse Town79769.2879.7726Langlitsawa82315.9782.3227Gomtu79330.6979.3328Phuentsholing Truck Parking79769.2879.7729Phuentsholing Dungkhag Office79769.2879.7730Phuentsholing Near MDP79769.2879.77",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,82003.07,82
2,Phuentsholing,79769.28,79.77
3,Rinchending,79849.74,79.85
4,Pasakha,79903.38,79.9
5,Chimakothi,81581.37,81.58
6,Chubachu,82018.02,82.02
7,Paro Shaba,82043.88,82.04
8,Haa,82917.27,82.92
9,Wangdue Zero Point,82092.47,82.09
10,Beychu,82315.97,82.32
11,Samtse Checkpost,79769.28,79.77
12,Sipsoo,80962.14,80.96
13,Pagli,79330.69,79.33
14,Gedu,81178.64,81.18
15,Mitsina,82003.07,82
16,Khuruthang,82061.23,82.06
17,Gasa,83672.09,83.67
18,Dorokha,80766.23,80.77
19,Langdru (Khasadrapchu),81866.04,81.87
20,Chanzamtok,82018.02,82.02
21,Gomtu Phuentshopelri,79330.69,79.33
22,Motithang,82018.02,82.02
23,Lungtenzampa,82018.02,82.02
24,Olakha,82018.02,82.02
25,Samtse Town,79769.28,79.77
26,Langlitsawa,82315.97,82.32
27,Gomtu,79330.69,79.33
28,Phuentsholing Truck Parking,79769.28,79.77
29,Phuentsholing Dungkhag Office,79769.28,79.77
30,Phuentsholing Near MDP,79769.28,79.77
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:MS (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Lobesa82003.07822Phuentsholing79769.2879.773Rinchending79849.7479.854Pasakha79903.3879.95Chimakothi81581.3781.586Chubachu82018.0282.027Paro Shaba82043.8882.048Haa82917.2782.929Wangdue Zero Point82092.4782.0910Beychu82315.9782.3211Samtse Checkpost79769.2879.7712Sipsoo80962.1480.9613Pagli79330.6979.3314Gedu81178.6481.1815Mitsina82003.078216Khuruthang82061.2382.0617Gasa83672.0983.6718Dorokha80766.2380.7719Langdru (Khasadrapchu)81866.0481.8720Chanzamtok82018.0282.0221Gomtu Phuentshopelri79330.6979.3322Motithang82018.0282.0223Lungtenzampa82018.0282.0224Olakha82018.0282.0225Samtse Town79769.2879.7726Langlitsawa82315.9782.3227Gomtu79330.6979.3328Phuentsholing Truck Parking79769.2879.7729Phuentsholing Dungkhag Office79769.2879.7730Phuentsholing Near MDP79769.2879.77",,,
"#",Station,RSP/KL,RSP/L
1,Lobesa,82003.07,82
2,Phuentsholing,79769.28,79.77
3,Rinchending,79849.74,79.85
4,Pasakha,79903.38,79.9
5,Chimakothi,81581.37,81.58
6,Chubachu,82018.02,82.02
7,Paro Shaba,82043.88,82.04
8,Haa,82917.27,82.92
9,Wangdue Zero Point,82092.47,82.09
10,Beychu,82315.97,82.32
11,Samtse Checkpost,79769.28,79.77
12,Sipsoo,80962.14,80.96
13,Pagli,79330.69,79.33
14,Gedu,81178.64,81.18
15,Mitsina,82003.07,82
16,Khuruthang,82061.23,82.06
17,Gasa,83672.09,83.67
18,Dorokha,80766.23,80.77
19,Langdru (Khasadrapchu),81866.04,81.87
20,Chanzamtok,82018.02,82.02
21,Gomtu Phuentshopelri,79330.69,79.33
22,Motithang,82018.02,82.02
23,Lungtenzampa,82018.02,82.02
24,Olakha,82018.02,82.02
25,Samtse Town,79769.28,79.77
26,Langlitsawa,82315.97,82.32
27,Gomtu,79330.69,79.33
28,Phuentsholing Truck Parking,79769.28,79.77
29,Phuentsholing Dungkhag Office,79769.28,79.77
30,Phuentsholing Near MDP,79769.28,79.77
