"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Samdrup Jongkhar80865.3780.872Wamrong82348.2182.353Trashigang82576.882.584Trashiyangtse83521.0383.525Mongar83666.5183.676Gyelposing83617.7683.627Kanglung82795.4482.88Pemagatshel82207.3582.219Lhuntse84180.1184.1810Jomotsangkha81709.0281.7111Autsho83817.7883.8212Doksum82864.282.8613Bhangtar81473.2981.4714Rangjung82869.3582.87",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,80865.37,80.87
2,Wamrong,82348.21,82.35
3,Trashigang,82576.8,82.58
4,Trashiyangtse,83521.03,83.52
5,Mongar,83666.51,83.67
6,Gyelposing,83617.76,83.62
7,Kanglung,82795.44,82.8
8,Pemagatshel,82207.35,82.21
9,Lhuntse,84180.11,84.18
10,Jomotsangkha,81709.02,81.71
11,Autsho,83817.78,83.82
12,Doksum,82864.2,82.86
13,Bhangtar,81473.29,81.47
14,Rangjung,82869.35,82.87
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Samdrup Jongkhar80865.3780.872Wamrong82348.2182.353Trashigang82576.882.584Trashiyangtse83521.0383.525Mongar83666.5183.676Gyelposing83617.7683.627Kanglung82795.4482.88Pemagatshel82207.3582.219Lhuntse84180.1184.1810Jomotsangkha81709.0281.7111Autsho83817.7883.8212Doksum82864.282.8613Bhangtar81473.2981.4714Rangjung82869.3582.87",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,80865.37,80.87
2,Wamrong,82348.21,82.35
3,Trashigang,82576.8,82.58
4,Trashiyangtse,83521.03,83.52
5,Mongar,83666.51,83.67
6,Gyelposing,83617.76,83.62
7,Kanglung,82795.44,82.8
8,Pemagatshel,82207.35,82.21
9,Lhuntse,84180.11,84.18
10,Jomotsangkha,81709.02,81.71
11,Autsho,83817.78,83.82
12,Doksum,82864.2,82.86
13,Bhangtar,81473.29,81.47
14,Rangjung,82869.35,82.87
