"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Nganglam80092.3980.092Samdrup Jongkhar Gate80307.7980.313Nganglam Potonala80092.3980.094Wamrong81786.4881.795Trashigang82018.5182.026Trashiyangtse82959.5482.967Mongar83106.3183.118Gyelposing83060.1383.069Kanglung82234.2782.2310Pemagatshel81646.6681.6511Lhuntse8362183.6212Jomotsangkha80307.7980.3113Autsho83259.2683.2614Doksum82305.4782.3115Bhangtar80915.7180.9216Rangjung82310.0982.3117Samdrup Jongkhar Upper Town80307.7980.31",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,80092.39,80.09
2,Samdrup Jongkhar Gate,80307.79,80.31
3,Nganglam Potonala,80092.39,80.09
4,Wamrong,81786.48,81.79
5,Trashigang,82018.51,82.02
6,Trashiyangtse,82959.54,82.96
7,Mongar,83106.31,83.11
8,Gyelposing,83060.13,83.06
9,Kanglung,82234.27,82.23
10,Pemagatshel,81646.66,81.65
11,Lhuntse,83621,83.62
12,Jomotsangkha,80307.79,80.31
13,Autsho,83259.26,83.26
14,Doksum,82305.47,82.31
15,Bhangtar,80915.71,80.92
16,Rangjung,82310.09,82.31
17,Samdrup Jongkhar Upper Town,80307.79,80.31
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:HSD (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Nganglam80092.3980.092Samdrup Jongkhar Gate80307.7980.313Nganglam Potonala80092.3980.094Wamrong81786.4881.795Trashigang82018.5182.026Trashiyangtse82959.5482.967Mongar83106.3183.118Gyelposing83060.1383.069Kanglung82234.2782.2310Pemagatshel81646.6681.6511Lhuntse8362183.6212Jomotsangkha80307.7980.3113Autsho83259.2683.2614Doksum82305.4782.3115Bhangtar80915.7180.9216Rangjung82310.0982.3117Samdrup Jongkhar Upper Town80307.7980.31",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,80092.39,80.09
2,Samdrup Jongkhar Gate,80307.79,80.31
3,Nganglam Potonala,80092.39,80.09
4,Wamrong,81786.48,81.79
5,Trashigang,82018.51,82.02
6,Trashiyangtse,82959.54,82.96
7,Mongar,83106.31,83.11
8,Gyelposing,83060.13,83.06
9,Kanglung,82234.27,82.23
10,Pemagatshel,81646.66,81.65
11,Lhuntse,83621,83.62
12,Jomotsangkha,80307.79,80.31
13,Autsho,83259.26,83.26
14,Doksum,82305.47,82.31
15,Bhangtar,80915.71,80.92
16,Rangjung,82310.09,82.31
17,Samdrup Jongkhar Upper Town,80307.79,80.31
