"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Nganglam80667.880.672Samdrup Jongkhar Gate80883.7280.883Nganglam Potonala80667.880.674Wamrong82596.7382.65Trashigang82634.5282.636Trashiyangtse83756.4383.767Mongar83830.5683.838Gyelposing83639.1283.649Kanglung83013.0783.0110Pemagatshel82398.1982.411Lhuntse84283.7584.2812Jomotsangkha80883.7280.8813Autsho83888.6283.8914Doksum82946.5182.9515Bhangtar81491.6481.4916Rangjung82981.1982.9817Samdrup Jongkhar Upper Town80883.7280.88",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,80667.8,80.67
2,Samdrup Jongkhar Gate,80883.72,80.88
3,Nganglam Potonala,80667.8,80.67
4,Wamrong,82596.73,82.6
5,Trashigang,82634.52,82.63
6,Trashiyangtse,83756.43,83.76
7,Mongar,83830.56,83.83
8,Gyelposing,83639.12,83.64
9,Kanglung,83013.07,83.01
10,Pemagatshel,82398.19,82.4
11,Lhuntse,84283.75,84.28
12,Jomotsangkha,80883.72,80.88
13,Autsho,83888.62,83.89
14,Doksum,82946.51,82.95
15,Bhangtar,81491.64,81.49
16,Rangjung,82981.19,82.98
17,Samdrup Jongkhar Upper Town,80883.72,80.88
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2022-02-16#StationRSP/KLRSP/L1Nganglam80667.880.672Samdrup Jongkhar Gate80883.7280.883Nganglam Potonala80667.880.674Wamrong82596.7382.65Trashigang82634.5282.636Trashiyangtse83756.4383.767Mongar83830.5683.838Gyelposing83639.1283.649Kanglung83013.0783.0110Pemagatshel82398.1982.411Lhuntse84283.7584.2812Jomotsangkha80883.7280.8813Autsho83888.6283.8914Doksum82946.5182.9515Bhangtar81491.6481.4916Rangjung82981.1982.9817Samdrup Jongkhar Upper Town80883.7280.88",,,
"#",Station,RSP/KL,RSP/L
1,Nganglam,80667.8,80.67
2,Samdrup Jongkhar Gate,80883.72,80.88
3,Nganglam Potonala,80667.8,80.67
4,Wamrong,82596.73,82.6
5,Trashigang,82634.52,82.63
6,Trashiyangtse,83756.43,83.76
7,Mongar,83830.56,83.83
8,Gyelposing,83639.12,83.64
9,Kanglung,83013.07,83.01
10,Pemagatshel,82398.19,82.4
11,Lhuntse,84283.75,84.28
12,Jomotsangkha,80883.72,80.88
13,Autsho,83888.62,83.89
14,Doksum,82946.51,82.95
15,Bhangtar,81491.64,81.49
16,Rangjung,82981.19,82.98
17,Samdrup Jongkhar Upper Town,80883.72,80.88
