"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2022-02-01#StationRSP/KLRSP/L1Phuentsholing75386.4175.392Rinchending75466.8775.473Pasakha75520.5175.524Chimakothi76892.6876.895Lungtenzampa77349.6577.356Paro Town77350.2677.357Haa78110.9378.118Bajo Town77565.1677.579Beychu77788.6677.7910Samtse Town74890.5374.8911Sipsoo76545.0976.5512Gomtu74948.8774.9513Gedu76484.4176.4814Khuruthang7754177.5415Gasa78890.0878.8916Motithang77349.6577.3517Olakha77349.6577.3518Paro NIE Bridge77350.2677.3519Langlitsawa77788.6677.7920Wangdue Zero Point77565.1677.5721Phuentsholing Main gate75386.4175.39",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,75386.41,75.39
2,Rinchending,75466.87,75.47
3,Pasakha,75520.51,75.52
4,Chimakothi,76892.68,76.89
5,Lungtenzampa,77349.65,77.35
6,Paro Town,77350.26,77.35
7,Haa,78110.93,78.11
8,Bajo Town,77565.16,77.57
9,Beychu,77788.66,77.79
10,Samtse Town,74890.53,74.89
11,Sipsoo,76545.09,76.55
12,Gomtu,74948.87,74.95
13,Gedu,76484.41,76.48
14,Khuruthang,77541,77.54
15,Gasa,78890.08,78.89
16,Motithang,77349.65,77.35
17,Olakha,77349.65,77.35
18,Paro NIE Bridge,77350.26,77.35
19,Langlitsawa,77788.66,77.79
20,Wangdue Zero Point,77565.16,77.57
21,Phuentsholing Main gate,75386.41,75.39
"NEW PRICI NG DETA ILSRegion:Western RegionProduct:HSD (in KL)Approved Date:2022-02-01#StationRSP/KLRSP/L1Phuentsholing75386.4175.392Rinchending75466.8775.473Pasakha75520.5175.524Chimakothi76892.6876.895Lungtenzampa77349.6577.356Paro Town77350.2677.357Haa78110.9378.118Bajo Town77565.1677.579Beychu77788.6677.7910Samtse Town74890.5374.8911Sipsoo76545.0976.5512Gomtu74948.8774.9513Gedu76484.4176.4814Khuruthang7754177.5415Gasa78890.0878.8916Motithang77349.6577.3517Olakha77349.6577.3518Paro NIE Bridge77350.2677.3519Langlitsawa77788.6677.7920Wangdue Zero Point77565.1677.5721Phuentsholing Main gate75386.4175.39",,,
"#",Station,RSP/KL,RSP/L
1,Phuentsholing,75386.41,75.39
2,Rinchending,75466.87,75.47
3,Pasakha,75520.51,75.52
4,Chimakothi,76892.68,76.89
5,Lungtenzampa,77349.65,77.35
6,Paro Town,77350.26,77.35
7,Haa,78110.93,78.11
8,Bajo Town,77565.16,77.57
9,Beychu,77788.66,77.79
10,Samtse Town,74890.53,74.89
11,Sipsoo,76545.09,76.55
12,Gomtu,74948.87,74.95
13,Gedu,76484.41,76.48
14,Khuruthang,77541,77.54
15,Gasa,78890.08,78.89
16,Motithang,77349.65,77.35
17,Olakha,77349.65,77.35
18,Paro NIE Bridge,77350.26,77.35
19,Langlitsawa,77788.66,77.79
20,Wangdue Zero Point,77565.16,77.57
21,Phuentsholing Main gate,75386.41,75.39
