"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar39438.6739.442Nganglam39438.6739.443Wamrong40721.6140.724Trashigang41115.9241.125Trashiyangtse41905.8341.916Mongar42113.2742.117Gyelposing42188.4542.198Kanglung41195.6741.29Pemagatshel40630.8440.6310Lhuntse42679.3442.6811Jomotsangkha40381.5940.3812Autsho42345.542.3513Doksum41381.9441.3814Bhangtar40157.1640.1615Rangjung41361.4641.36",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,39438.67,39.44
2,Nganglam,39438.67,39.44
3,Wamrong,40721.61,40.72
4,Trashigang,41115.92,41.12
5,Trashiyangtse,41905.83,41.91
6,Mongar,42113.27,42.11
7,Gyelposing,42188.45,42.19
8,Kanglung,41195.67,41.2
9,Pemagatshel,40630.84,40.63
10,Lhuntse,42679.34,42.68
11,Jomotsangkha,40381.59,40.38
12,Autsho,42345.5,42.35
13,Doksum,41381.94,41.38
14,Bhangtar,40157.16,40.16
15,Rangjung,41361.46,41.36
"NEW PRICI NG DETA ILSRegion:Eastern RegionProduct:MS (in KL)Approved Date:2020-05-01#StationRSP/KLRSP/L1Samdrup Jongkhar39438.6739.442Nganglam39438.6739.443Wamrong40721.6140.724Trashigang41115.9241.125Trashiyangtse41905.8341.916Mongar42113.2742.117Gyelposing42188.4542.198Kanglung41195.6741.29Pemagatshel40630.8440.6310Lhuntse42679.3442.6811Jomotsangkha40381.5940.3812Autsho42345.542.3513Doksum41381.9441.3814Bhangtar40157.1640.1615Rangjung41361.4641.36",,,
"#",Station,RSP/KL,RSP/L
1,Samdrup Jongkhar,39438.67,39.44
2,Nganglam,39438.67,39.44
3,Wamrong,40721.61,40.72
4,Trashigang,41115.92,41.12
5,Trashiyangtse,41905.83,41.91
6,Mongar,42113.27,42.11
7,Gyelposing,42188.45,42.19
8,Kanglung,41195.67,41.2
9,Pemagatshel,40630.84,40.63
10,Lhuntse,42679.34,42.68
11,Jomotsangkha,40381.59,40.38
12,Autsho,42345.5,42.35
13,Doksum,41381.94,41.38
14,Bhangtar,40157.16,40.16
15,Rangjung,41361.46,41.36
