"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-05-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost33653.8133.652Sarpang33956.4633.963Dagapela35166.2435.174Tsirang34662.5434.665Zhemgang35333.2135.336Trongsa36313.8136.317Bumthang37046.6937.058Dagana35613.4235.619Lhamoizingkha34658.0234.6610Dangdung36995.373711Panbang35206.3435.2112Tingtibi34781.4634.78",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,33653.81,33.65
2,Sarpang,33956.46,33.96
3,Dagapela,35166.24,35.17
4,Tsirang,34662.54,34.66
5,Zhemgang,35333.21,35.33
6,Trongsa,36313.81,36.31
7,Bumthang,37046.69,37.05
8,Dagana,35613.42,35.61
9,Lhamoizingkha,34658.02,34.66
10,Dangdung,36995.37,37
11,Panbang,35206.34,35.21
12,Tingtibi,34781.46,34.78
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-05-01#StationRSP/KLRSP/L1Gelephu Forest Checkpost33653.8133.652Sarpang33956.4633.963Dagapela35166.2435.174Tsirang34662.5434.665Zhemgang35333.2135.336Trongsa36313.8136.317Bumthang37046.6937.058Dagana35613.4235.619Lhamoizingkha34658.0234.6610Dangdung36995.373711Panbang35206.3435.2112Tingtibi34781.4634.78",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Forest Checkpost,33653.81,33.65
2,Sarpang,33956.46,33.96
3,Dagapela,35166.24,35.17
4,Tsirang,34662.54,34.66
5,Zhemgang,35333.21,35.33
6,Trongsa,36313.81,36.31
7,Bumthang,37046.69,37.05
8,Dagana,35613.42,35.61
9,Lhamoizingkha,34658.02,34.66
10,Dangdung,36995.37,37
11,Panbang,35206.34,35.21
12,Tingtibi,34781.46,34.78
