"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-04-16#StationRSP/KLRSP/L1Gelephu Town38031.5838.032Sarpang38079.0538.083Dagapela39567.5839.574Tsirang3906739.075Zhemgang42155.0242.166Trongsa41149.4141.157Bumthang41469.6241.478Dagana40020.6740.029Lhamoizingkha43079.3143.0810Dangdung41386.8141.3911Panbang39584.1139.5812Tingtibi39743.1639.74",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,38031.58,38.03
2,Sarpang,38079.05,38.08
3,Dagapela,39567.58,39.57
4,Tsirang,39067,39.07
5,Zhemgang,42155.02,42.16
6,Trongsa,41149.41,41.15
7,Bumthang,41469.62,41.47
8,Dagana,40020.67,40.02
9,Lhamoizingkha,43079.31,43.08
10,Dangdung,41386.81,41.39
11,Panbang,39584.11,39.58
12,Tingtibi,39743.16,39.74
"NEW PRICI NG DETA ILSRegion:Central RegionProduct:HSD (in KL)Approved Date:2020-04-16#StationRSP/KLRSP/L1Gelephu Town38031.5838.032Sarpang38079.0538.083Dagapela39567.5839.574Tsirang3906739.075Zhemgang42155.0242.166Trongsa41149.4141.157Bumthang41469.6241.478Dagana40020.6740.029Lhamoizingkha43079.3143.0810Dangdung41386.8141.3911Panbang39584.1139.5812Tingtibi39743.1639.74",,,
"#",Station,RSP/KL,RSP/L
1,Gelephu Town,38031.58,38.03
2,Sarpang,38079.05,38.08
3,Dagapela,39567.58,39.57
4,Tsirang,39067,39.07
5,Zhemgang,42155.02,42.16
6,Trongsa,41149.41,41.15
7,Bumthang,41469.62,41.47
8,Dagana,40020.67,40.02
9,Lhamoizingkha,43079.31,43.08
10,Dangdung,41386.81,41.39
11,Panbang,39584.11,39.58
12,Tingtibi,39743.16,39.74
